"from","to","type"
545,40,"51_HISTORY"
545,1,"51_HISTORY"
546,25,"52_HISTORY"
546,2,"52_HISTORY"
547,15,"53_HISTORY"
547,3,"53_HISTORY"
548,4,"54_HISTORY"
548,4,"54_HISTORY"
549,16,"55_HISTORY"
549,5,"55_HISTORY"
550,15,"56_HISTORY"
550,6,"56_HISTORY"
551,7,"57_HISTORY"
551,7,"57_HISTORY"
552,49,"58_HISTORY"
552,8,"58_HISTORY"
553,32,"59_HISTORY"
553,9,"59_HISTORY"
554,36,"60_HISTORY"
554,10,"60_HISTORY"
555,11,"61_HISTORY"
555,11,"61_HISTORY"
556,24,"62_HISTORY"
556,12,"62_HISTORY"
557,17,"63_HISTORY"
557,13,"63_HISTORY"
558,2,"64_HISTORY"
558,14,"64_HISTORY"
559,8,"65_HISTORY"
559,15,"65_HISTORY"
560,9,"66_HISTORY"
560,16,"66_HISTORY"
561,16,"67_HISTORY"
561,17,"67_HISTORY"
562,4,"68_HISTORY"
562,18,"68_HISTORY"
563,6,"69_HISTORY"
563,19,"69_HISTORY"
564,43,"70_HISTORY"
564,20,"70_HISTORY"
565,21,"71_HISTORY"
565,21,"71_HISTORY"
566,14,"72_HISTORY"
566,22,"72_HISTORY"
567,24,"73_HISTORY"
567,23,"73_HISTORY"
568,31,"74_HISTORY"
568,24,"74_HISTORY"
569,48,"75_HISTORY"
569,25,"75_HISTORY"
570,26,"76_HISTORY"
570,26,"76_HISTORY"
571,27,"77_HISTORY"
571,27,"77_HISTORY"
572,27,"78_HISTORY"
572,28,"78_HISTORY"
573,47,"79_HISTORY"
573,29,"79_HISTORY"
574,15,"80_HISTORY"
574,30,"80_HISTORY"
575,6,"81_HISTORY"
575,31,"81_HISTORY"
576,17,"82_HISTORY"
576,32,"82_HISTORY"
577,38,"83_HISTORY"
577,33,"83_HISTORY"
578,9,"84_HISTORY"
578,34,"84_HISTORY"
579,35,"85_HISTORY"
579,35,"85_HISTORY"
580,47,"86_HISTORY"
580,36,"86_HISTORY"
581,10,"87_HISTORY"
581,37,"87_HISTORY"
582,17,"88_HISTORY"
582,38,"88_HISTORY"
583,37,"89_HISTORY"
583,39,"89_HISTORY"
584,44,"90_HISTORY"
584,40,"90_HISTORY"
585,25,"91_HISTORY"
585,41,"91_HISTORY"
586,42,"92_HISTORY"
586,42,"92_HISTORY"
587,39,"93_HISTORY"
587,43,"93_HISTORY"
588,44,"94_HISTORY"
588,44,"94_HISTORY"
589,11,"95_HISTORY"
589,45,"95_HISTORY"
590,46,"96_HISTORY"
590,46,"96_HISTORY"
591,41,"97_HISTORY"
591,47,"97_HISTORY"
592,21,"98_HISTORY"
592,48,"98_HISTORY"
593,49,"99_HISTORY"
593,49,"99_HISTORY"
594,48,"100_HISTORY"
594,50,"100_HISTORY"
595,1,"101_HISTORY"
595,1,"101_HISTORY"
596,2,"102_HISTORY"
596,2,"102_HISTORY"
597,4,"103_HISTORY"
597,4,"103_HISTORY"
598,9,"104_HISTORY"
598,5,"104_HISTORY"
599,49,"105_HISTORY"
599,7,"105_HISTORY"
600,16,"106_HISTORY"
600,9,"106_HISTORY"
601,19,"107_HISTORY"
601,10,"107_HISTORY"
602,11,"108_HISTORY"
602,11,"108_HISTORY"
603,27,"109_HISTORY"
603,12,"109_HISTORY"
604,13,"110_HISTORY"
604,13,"110_HISTORY"
605,7,"111_HISTORY"
605,15,"111_HISTORY"
606,7,"112_HISTORY"
606,16,"112_HISTORY"
607,1,"113_HISTORY"
607,18,"113_HISTORY"
608,11,"114_HISTORY"
608,19,"114_HISTORY"
609,46,"115_HISTORY"
609,20,"115_HISTORY"
610,9,"116_HISTORY"
610,21,"116_HISTORY"
611,26,"117_HISTORY"
611,22,"117_HISTORY"
612,39,"118_HISTORY"
612,23,"118_HISTORY"
613,24,"119_HISTORY"
613,24,"119_HISTORY"
614,25,"120_HISTORY"
614,25,"120_HISTORY"
615,26,"121_HISTORY"
615,26,"121_HISTORY"
616,25,"122_HISTORY"
616,27,"122_HISTORY"
617,29,"123_HISTORY"
617,28,"123_HISTORY"
618,16,"124_HISTORY"
618,30,"124_HISTORY"
619,31,"125_HISTORY"
619,31,"125_HISTORY"
620,16,"126_HISTORY"
620,32,"126_HISTORY"
621,39,"127_HISTORY"
621,33,"127_HISTORY"
622,7,"128_HISTORY"
622,34,"128_HISTORY"
623,27,"129_HISTORY"
623,36,"129_HISTORY"
624,37,"130_HISTORY"
624,37,"130_HISTORY"
625,35,"131_HISTORY"
625,39,"131_HISTORY"
626,10,"132_HISTORY"
626,40,"132_HISTORY"
627,41,"133_HISTORY"
627,41,"133_HISTORY"
628,42,"134_HISTORY"
628,42,"134_HISTORY"
629,49,"135_HISTORY"
629,43,"135_HISTORY"
630,34,"136_HISTORY"
630,44,"136_HISTORY"
631,11,"137_HISTORY"
631,45,"137_HISTORY"
632,21,"138_HISTORY"
632,46,"138_HISTORY"
633,2,"139_HISTORY"
633,47,"139_HISTORY"
634,48,"140_HISTORY"
634,48,"140_HISTORY"
635,49,"141_HISTORY"
635,49,"141_HISTORY"
636,44,"142_HISTORY"
636,50,"142_HISTORY"
637,34,"143_HISTORY"
637,1,"143_HISTORY"
638,12,"144_HISTORY"
638,2,"144_HISTORY"
639,11,"145_HISTORY"
639,5,"145_HISTORY"
640,7,"146_HISTORY"
640,7,"146_HISTORY"
641,10,"147_HISTORY"
641,10,"147_HISTORY"
642,28,"148_HISTORY"
642,16,"148_HISTORY"
643,18,"149_HISTORY"
643,18,"149_HISTORY"
644,20,"150_HISTORY"
644,20,"150_HISTORY"
645,23,"151_HISTORY"
645,24,"151_HISTORY"
646,30,"152_HISTORY"
646,26,"152_HISTORY"
647,36,"153_HISTORY"
647,27,"153_HISTORY"
648,6,"154_HISTORY"
648,30,"154_HISTORY"
649,40,"155_HISTORY"
649,33,"155_HISTORY"
650,12,"156_HISTORY"
650,36,"156_HISTORY"
651,24,"157_HISTORY"
651,39,"157_HISTORY"
652,25,"158_HISTORY"
652,41,"158_HISTORY"
653,43,"159_HISTORY"
653,42,"159_HISTORY"
654,15,"160_HISTORY"
654,43,"160_HISTORY"
655,44,"161_HISTORY"
655,44,"161_HISTORY"
656,17,"162_HISTORY"
656,45,"162_HISTORY"
657,34,"163_HISTORY"
657,47,"163_HISTORY"
658,50,"164_HISTORY"
658,48,"164_HISTORY"
659,30,"165_HISTORY"
659,49,"165_HISTORY"
660,44,"166_HISTORY"
660,50,"166_HISTORY"
661,21,"167_HISTORY"
661,1,"167_HISTORY"
662,36,"168_HISTORY"
662,2,"168_HISTORY"
663,5,"169_HISTORY"
663,5,"169_HISTORY"
664,43,"170_HISTORY"
664,7,"170_HISTORY"
665,2,"171_HISTORY"
665,10,"171_HISTORY"
666,5,"172_HISTORY"
666,16,"172_HISTORY"
667,18,"173_HISTORY"
667,18,"173_HISTORY"
668,20,"174_HISTORY"
668,20,"174_HISTORY"
669,2,"175_HISTORY"
669,24,"175_HISTORY"
670,26,"176_HISTORY"
670,26,"176_HISTORY"
671,6,"177_HISTORY"
671,30,"177_HISTORY"
672,35,"178_HISTORY"
672,33,"178_HISTORY"
673,26,"179_HISTORY"
673,39,"179_HISTORY"
674,27,"180_HISTORY"
674,41,"180_HISTORY"
675,22,"181_HISTORY"
675,43,"181_HISTORY"
676,44,"182_HISTORY"
676,44,"182_HISTORY"
677,50,"183_HISTORY"
677,45,"183_HISTORY"
678,25,"184_HISTORY"
678,47,"184_HISTORY"
679,28,"185_HISTORY"
679,48,"185_HISTORY"
680,42,"186_HISTORY"
680,50,"186_HISTORY"
681,7,"187_HISTORY"
681,1,"187_HISTORY"
682,47,"188_HISTORY"
682,2,"188_HISTORY"
683,9,"189_HISTORY"
683,5,"189_HISTORY"
684,2,"190_HISTORY"
684,10,"190_HISTORY"
685,33,"191_HISTORY"
685,18,"191_HISTORY"
686,33,"192_HISTORY"
686,24,"192_HISTORY"
687,6,"193_HISTORY"
687,30,"193_HISTORY"
688,14,"194_HISTORY"
688,33,"194_HISTORY"
689,39,"195_HISTORY"
689,39,"195_HISTORY"
690,36,"196_HISTORY"
690,41,"196_HISTORY"
691,43,"197_HISTORY"
691,43,"197_HISTORY"
692,44,"198_HISTORY"
692,44,"198_HISTORY"
693,45,"199_HISTORY"
693,45,"199_HISTORY"
694,16,"200_HISTORY"
694,47,"200_HISTORY"
695,44,"201_HISTORY"
695,48,"201_HISTORY"
696,44,"202_HISTORY"
696,50,"202_HISTORY"
697,19,"203_HISTORY"
697,1,"203_HISTORY"
698,36,"204_HISTORY"
698,2,"204_HISTORY"
699,16,"205_HISTORY"
699,5,"205_HISTORY"
700,18,"206_HISTORY"
700,18,"206_HISTORY"
701,23,"207_HISTORY"
701,24,"207_HISTORY"
702,6,"208_HISTORY"
