"from","to","type"
545,45,"51_HISTORY"
545,1,"51_HISTORY"
546,2,"52_HISTORY"
546,2,"52_HISTORY"
547,3,"53_HISTORY"
547,3,"53_HISTORY"
548,4,"54_HISTORY"
548,4,"54_HISTORY"
549,6,"55_HISTORY"
549,5,"55_HISTORY"
550,28,"56_HISTORY"
550,6,"56_HISTORY"
551,7,"57_HISTORY"
551,7,"57_HISTORY"
552,34,"58_HISTORY"
552,8,"58_HISTORY"
553,27,"59_HISTORY"
553,9,"59_HISTORY"
554,28,"60_HISTORY"
554,10,"60_HISTORY"
555,11,"61_HISTORY"
555,11,"61_HISTORY"
556,12,"62_HISTORY"
556,12,"62_HISTORY"
557,38,"63_HISTORY"
557,13,"63_HISTORY"
558,14,"64_HISTORY"
558,14,"64_HISTORY"
559,34,"65_HISTORY"
559,15,"65_HISTORY"
560,24,"66_HISTORY"
560,16,"66_HISTORY"
561,27,"67_HISTORY"
561,17,"67_HISTORY"
562,2,"68_HISTORY"
562,18,"68_HISTORY"
563,4,"69_HISTORY"
563,19,"69_HISTORY"
564,23,"70_HISTORY"
564,20,"70_HISTORY"
565,16,"71_HISTORY"
565,21,"71_HISTORY"
566,23,"72_HISTORY"
566,22,"72_HISTORY"
567,17,"73_HISTORY"
567,23,"73_HISTORY"
568,31,"74_HISTORY"
568,24,"74_HISTORY"
569,25,"75_HISTORY"
569,25,"75_HISTORY"
570,20,"76_HISTORY"
570,26,"76_HISTORY"
571,21,"77_HISTORY"
571,27,"77_HISTORY"
572,10,"78_HISTORY"
572,28,"78_HISTORY"
573,29,"79_HISTORY"
573,29,"79_HISTORY"
574,30,"80_HISTORY"
574,30,"80_HISTORY"
575,10,"81_HISTORY"
575,31,"81_HISTORY"
576,50,"82_HISTORY"
576,32,"82_HISTORY"
577,33,"83_HISTORY"
577,33,"83_HISTORY"
578,23,"84_HISTORY"
578,34,"84_HISTORY"
579,24,"85_HISTORY"
579,35,"85_HISTORY"
580,36,"86_HISTORY"
580,36,"86_HISTORY"
581,31,"87_HISTORY"
581,37,"87_HISTORY"
582,21,"88_HISTORY"
582,38,"88_HISTORY"
583,39,"89_HISTORY"
583,39,"89_HISTORY"
584,41,"90_HISTORY"
584,40,"90_HISTORY"
585,12,"91_HISTORY"
585,41,"91_HISTORY"
586,13,"92_HISTORY"
586,42,"92_HISTORY"
587,45,"93_HISTORY"
587,43,"93_HISTORY"
588,17,"94_HISTORY"
588,44,"94_HISTORY"
589,45,"95_HISTORY"
589,45,"95_HISTORY"
590,34,"96_HISTORY"
590,46,"96_HISTORY"
591,47,"97_HISTORY"
591,47,"97_HISTORY"
592,48,"98_HISTORY"
592,48,"98_HISTORY"
593,20,"99_HISTORY"
593,49,"99_HISTORY"
594,30,"100_HISTORY"
594,50,"100_HISTORY"
595,49,"101_HISTORY"
595,1,"101_HISTORY"
596,20,"102_HISTORY"
596,2,"102_HISTORY"
597,42,"103_HISTORY"
597,7,"103_HISTORY"
598,8,"104_HISTORY"
598,8,"104_HISTORY"
599,9,"105_HISTORY"
599,9,"105_HISTORY"
600,26,"106_HISTORY"
600,10,"106_HISTORY"
601,12,"107_HISTORY"
601,12,"107_HISTORY"
602,12,"108_HISTORY"
602,13,"108_HISTORY"
603,22,"109_HISTORY"
603,15,"109_HISTORY"
604,7,"110_HISTORY"
604,16,"110_HISTORY"
605,44,"111_HISTORY"
605,17,"111_HISTORY"
606,2,"112_HISTORY"
606,18,"112_HISTORY"
607,22,"113_HISTORY"
607,19,"113_HISTORY"
608,49,"114_HISTORY"
608,20,"114_HISTORY"
609,21,"115_HISTORY"
609,21,"115_HISTORY"
610,35,"116_HISTORY"
610,22,"116_HISTORY"
611,17,"117_HISTORY"
611,23,"117_HISTORY"
612,6,"118_HISTORY"
612,24,"118_HISTORY"
613,48,"119_HISTORY"
613,25,"119_HISTORY"
614,46,"120_HISTORY"
614,26,"120_HISTORY"
615,10,"121_HISTORY"
615,28,"121_HISTORY"
616,29,"122_HISTORY"
616,29,"122_HISTORY"
617,26,"123_HISTORY"
617,31,"123_HISTORY"
618,30,"124_HISTORY"
618,32,"124_HISTORY"
619,17,"125_HISTORY"
619,33,"125_HISTORY"
620,15,"126_HISTORY"
620,34,"126_HISTORY"
621,48,"127_HISTORY"
621,35,"127_HISTORY"
622,36,"128_HISTORY"
622,36,"128_HISTORY"
623,10,"129_HISTORY"
623,37,"129_HISTORY"
624,14,"130_HISTORY"
624,38,"130_HISTORY"
625,39,"131_HISTORY"
625,39,"131_HISTORY"
626,4,"132_HISTORY"
626,40,"132_HISTORY"
627,20,"133_HISTORY"
627,41,"133_HISTORY"
628,7,"134_HISTORY"
628,42,"134_HISTORY"
629,43,"135_HISTORY"
629,43,"135_HISTORY"
630,4,"136_HISTORY"
630,44,"136_HISTORY"
631,43,"137_HISTORY"
631,45,"137_HISTORY"
632,46,"138_HISTORY"
632,46,"138_HISTORY"
633,47,"139_HISTORY"
633,47,"139_HISTORY"
634,49,"140_HISTORY"
634,49,"140_HISTORY"
635,26,"141_HISTORY"
635,50,"141_HISTORY"
636,1,"142_HISTORY"
636,1,"142_HISTORY"
637,2,"143_HISTORY"
637,2,"143_HISTORY"
638,45,"144_HISTORY"
638,7,"144_HISTORY"
639,21,"145_HISTORY"
639,9,"145_HISTORY"
640,45,"146_HISTORY"
640,10,"146_HISTORY"
641,27,"147_HISTORY"
641,12,"147_HISTORY"
642,39,"148_HISTORY"
642,13,"148_HISTORY"
643,8,"149_HISTORY"
643,15,"149_HISTORY"
644,38,"150_HISTORY"
644,16,"150_HISTORY"
645,4,"151_HISTORY"
645,17,"151_HISTORY"
646,41,"152_HISTORY"
646,19,"152_HISTORY"
647,49,"153_HISTORY"
647,20,"153_HISTORY"
648,45,"154_HISTORY"
648,21,"154_HISTORY"
649,13,"155_HISTORY"
649,22,"155_HISTORY"
650,24,"156_HISTORY"
650,24,"156_HISTORY"
651,25,"157_HISTORY"
651,25,"157_HISTORY"
652,25,"158_HISTORY"
652,26,"158_HISTORY"
653,37,"159_HISTORY"
653,28,"159_HISTORY"
654,29,"160_HISTORY"
654,29,"160_HISTORY"
655,23,"161_HISTORY"
655,31,"161_HISTORY"
656,33,"162_HISTORY"
656,33,"162_HISTORY"
657,34,"163_HISTORY"
657,34,"163_HISTORY"
658,7,"164_HISTORY"
658,35,"164_HISTORY"
659,37,"165_HISTORY"
659,37,"165_HISTORY"
660,16,"166_HISTORY"
660,38,"166_HISTORY"
661,39,"167_HISTORY"
661,39,"167_HISTORY"
662,40,"168_HISTORY"
662,40,"168_HISTORY"
663,42,"169_HISTORY"
663,42,"169_HISTORY"
664,23,"170_HISTORY"
664,44,"170_HISTORY"
665,45,"171_HISTORY"
665,45,"171_HISTORY"
666,46,"172_HISTORY"
666,46,"172_HISTORY"
667,32,"173_HISTORY"
667,47,"173_HISTORY"
668,28,"174_HISTORY"
668,49,"174_HISTORY"
669,2,"175_HISTORY"
669,2,"175_HISTORY"
670,40,"176_HISTORY"
670,9,"176_HISTORY"
671,44,"177_HISTORY"
671,10,"177_HISTORY"
672,12,"178_HISTORY"
672,12,"178_HISTORY"
673,23,"179_HISTORY"
673,17,"179_HISTORY"
674,11,"180_HISTORY"
674,20,"180_HISTORY"
675,24,"181_HISTORY"
675,21,"181_HISTORY"
676,1,"182_HISTORY"
676,25,"182_HISTORY"
677,28,"183_HISTORY"
677,31,"183_HISTORY"
678,15,"184_HISTORY"
678,34,"184_HISTORY"
679,30,"185_HISTORY"
679,37,"185_HISTORY"
680,13,"186_HISTORY"
680,39,"186_HISTORY"
681,40,"187_HISTORY"
681,40,"187_HISTORY"
682,7,"188_HISTORY"
682,42,"188_HISTORY"
683,17,"189_HISTORY"
683,44,"189_HISTORY"
684,36,"190_HISTORY"
684,45,"190_HISTORY"
685,48,"191_HISTORY"
685,46,"191_HISTORY"
686,47,"192_HISTORY"
686,47,"192_HISTORY"
687,41,"193_HISTORY"
687,49,"193_HISTORY"
688,18,"194_HISTORY"
688,2,"194_HISTORY"
689,10,"195_HISTORY"
689,9,"195_HISTORY"
690,12,"196_HISTORY"
690,12,"196_HISTORY"
691,20,"197_HISTORY"
691,20,"197_HISTORY"
692,16,"198_HISTORY"
692,21,"198_HISTORY"
693,28,"199_HISTORY"
693,31,"199_HISTORY"
694,8,"200_HISTORY"
694,34,"200_HISTORY"
695,31,"201_HISTORY"
695,37,"201_HISTORY"
696,39,"202_HISTORY"
696,39,"202_HISTORY"
697,7,"203_HISTORY"
697,42,"203_HISTORY"
698,23,"204_HISTORY"
698,44,"204_HISTORY"
699,45,"205_HISTORY"
699,45,"205_HISTORY"
700,31,"206_HISTORY"
700,46,"206_HISTORY"
701,41,"207_HISTORY"
701,49,"207_HISTORY"
702,41,"208_HISTORY"
702,20,"208_HISTORY"
703,21,"209_HISTORY"
703,21,"209_HISTORY"
704,37,"210_HISTORY"
704,31,"210_HISTORY"
705,8,"211_HISTORY"
705,34,"211_HISTORY"
706,30,"212_HISTORY"
706,37,"212_HISTORY"
707,13,"213_HISTORY"
707,39,"213_HISTORY"
708,42,"214_HISTORY"
708,42,"214_HISTORY"
709,41,"215_HISTORY"
709,44,"215_HISTORY"
710,27,"216_HISTORY"
710,45,"216_HISTORY"
711,38,"217_HISTORY"
711,46,"217_HISTORY"
712,49,"218_HISTORY"
712,49,"218_HISTORY"
713,20,"219_HISTORY"
713,20,"219_HISTORY"
714,4,"220_HISTORY"
714,21,"220_HISTORY"
715,44,"221_HISTORY"
715,31,"221_HISTORY"
716,15,"222_HISTORY"
716,34,"222_HISTORY"
717,14,"223_HISTORY"
717,37,"223_HISTORY"
718,13,"224_HISTORY"
718,39,"224_HISTORY"
719,42,"225_HISTORY"
719,42,"225_HISTORY"
720,25,"226_HISTORY"
720,44,"226_HISTORY"
721,40,"227_HISTORY"
721,45,"227_HISTORY"
722,49,"228_HISTORY"
722,49,"228_HISTORY"
723,20,"229_HISTORY"
723,20,"229_HISTORY"
724,38,"230_HISTORY"
724,21,"230_HISTORY"
725,10,"231_HISTORY"
725,31,"231_HISTORY"
726,34,"232_HISTORY"
726,34,"232_HISTORY"
727,10,"233_HISTORY"
727,37,"233_HISTORY"
728,50,"234_HISTORY"
728,39,"234_HISTORY"
729,45,"235_HISTORY"
729,42,"235_HISTORY"
730,17,"236_HISTORY"
730,44,"236_HISTORY"
731,45,"237_HISTORY"
731,45,"237_HISTORY"
732,49,"238_HISTORY"
732,49,"238_HISTORY"
733,9,"239_HISTORY"
733,20,"239_HISTORY"
734,21,"240_HISTORY"
734,21,"240_HISTORY"
735,31,"241_HISTORY"
735,31,"241_HISTORY"
736,34,"242_HISTORY"
736,34,"242_HISTORY"
737,39,"243_HISTORY"
737,39,"243_HISTORY"
738,7,"244_HISTORY"
738,42,"244_HISTORY"
739,23,"245_HISTORY"
739,44,"245_HISTORY"
740,45,"246_HISTORY"
740,45,"246_HISTORY"
741,41,"247_HISTORY"
741,49,"247_HISTORY"
742,6,"248_HISTORY"
742,44,"248_HISTORY"
743,44,"249_HISTORY"
743,45,"249_HISTORY"
744,24,"250_HISTORY"
744,49,"250_HISTORY"
