"from","to","type"
19,1,"SISTER"
34,1,"SISTER"
14,2,"SISTER"
47,2,"SISTER"
25,6,"SISTER"
34,7,"SISTER"
5,9,"SISTER"
10,50,"SISTER"
5,11,"SISTER"
17,16,"SISTER"
39,22,"SISTER"
14,23,"SISTER"
14,24,"SISTER"
50,24,"SISTER"
2,25,"SISTER"
36,27,"SISTER"
15,30,"SISTER"
50,30,"SISTER"
9,32,"SISTER"
14,33,"SISTER"
26,33,"SISTER"
25,36,"SISTER"
38,50,"SISTER"
14,39,"SISTER"
25,41,"SISTER"
50,41,"SISTER"
6,43,"SISTER"
30,43,"SISTER"
48,44,"SISTER"
9,45,"SISTER"
16,45,"SISTER"
10,47,"SISTER"
50,48,"SISTER"
18,501,"SISTER"
18,502,"SISTER"
44,503,"SISTER"
44,504,"SISTER"
40,501,"SISTER"
40,502,"SISTER"
4,503,"SISTER"
4,504,"SISTER"
48,501,"SISTER"
48,502,"SISTER"
16,503,"SISTER"
16,504,"SISTER"
9,501,"SISTER"
9,502,"SISTER"
41,503,"SISTER"
41,504,"SISTER"
42,501,"SISTER"
42,502,"SISTER"
15,503,"SISTER"
15,504,"SISTER"
