"from","to","type"
18,2,"SISTER"
30,10,"SISTER"
8,15,"SISTER"
38,16,"SISTER"
44,17,"SISTER"
41,20,"SISTER"
16,21,"SISTER"
37,28,"SISTER"
10,31,"SISTER"
26,31,"SISTER"
15,34,"SISTER"
30,37,"SISTER"
13,39,"SISTER"
7,42,"SISTER"
23,44,"SISTER"
43,45,"SISTER"
20,49,"SISTER"
29,501,"SISTER"
29,502,"SISTER"
47,503,"SISTER"
47,504,"SISTER"
25,501,"SISTER"
25,502,"SISTER"
44,503,"SISTER"
44,504,"SISTER"
12,501,"SISTER"
12,502,"SISTER"
38,503,"SISTER"
38,504,"SISTER"
19,501,"SISTER"
19,502,"SISTER"
5,503,"SISTER"
5,504,"SISTER"
36,501,"SISTER"
36,502,"SISTER"
11,503,"SISTER"
11,504,"SISTER"
