"from","to","type"
1,745,"HAS"
1,746,"HAS"
1,747,"HAS"
1,748,"HAS"
1,749,"HAS"
1,750,"HAS"
1,751,"HAS"
1,752,"HAS"
1,753,"HAS"
1,754,"HAS"
1,755,"HAS"
1,756,"HAS"
2,757,"HAS"
2,758,"HAS"
2,759,"HAS"
2,760,"HAS"
2,761,"HAS"
2,762,"HAS"
2,763,"HAS"
2,764,"HAS"
2,765,"HAS"
2,766,"HAS"
2,767,"HAS"
2,768,"HAS"
3,769,"HAS"
3,770,"HAS"
3,771,"HAS"
3,772,"HAS"
3,773,"HAS"
3,774,"HAS"
3,775,"HAS"
3,776,"HAS"
3,777,"HAS"
3,778,"HAS"
3,779,"HAS"
3,780,"HAS"
4,781,"HAS"
4,782,"HAS"
4,783,"HAS"
4,784,"HAS"
4,785,"HAS"
4,786,"HAS"
4,787,"HAS"
4,788,"HAS"
4,789,"HAS"
4,790,"HAS"
4,791,"HAS"
4,792,"HAS"
5,793,"HAS"
5,794,"HAS"
5,795,"HAS"
5,796,"HAS"
5,797,"HAS"
5,798,"HAS"
5,799,"HAS"
5,800,"HAS"
5,801,"HAS"
5,802,"HAS"
5,803,"HAS"
5,804,"HAS"
6,805,"HAS"
6,806,"HAS"
6,807,"HAS"
6,808,"HAS"
6,809,"HAS"
6,810,"HAS"
6,811,"HAS"
6,812,"HAS"
6,813,"HAS"
6,814,"HAS"
6,815,"HAS"
6,816,"HAS"
7,817,"HAS"
7,818,"HAS"
7,819,"HAS"
7,820,"HAS"
7,821,"HAS"
7,822,"HAS"
7,823,"HAS"
7,824,"HAS"
7,825,"HAS"
7,826,"HAS"
7,827,"HAS"
7,828,"HAS"
8,829,"HAS"
8,830,"HAS"
8,831,"HAS"
8,832,"HAS"
8,833,"HAS"
8,834,"HAS"
8,835,"HAS"
8,836,"HAS"
8,837,"HAS"
8,838,"HAS"
8,839,"HAS"
8,840,"HAS"
9,841,"HAS"
9,842,"HAS"
9,843,"HAS"
9,844,"HAS"
9,845,"HAS"
9,846,"HAS"
9,847,"HAS"
9,848,"HAS"
9,849,"HAS"
9,850,"HAS"
9,851,"HAS"
9,852,"HAS"
10,853,"HAS"
10,854,"HAS"
10,855,"HAS"
10,856,"HAS"
10,857,"HAS"
10,858,"HAS"
10,859,"HAS"
10,860,"HAS"
10,861,"HAS"
10,862,"HAS"
10,863,"HAS"
10,864,"HAS"
11,865,"HAS"
11,866,"HAS"
11,867,"HAS"
11,868,"HAS"
11,869,"HAS"
11,870,"HAS"
11,871,"HAS"
11,872,"HAS"
11,873,"HAS"
11,874,"HAS"
11,875,"HAS"
11,876,"HAS"
12,877,"HAS"
12,878,"HAS"
12,879,"HAS"
12,880,"HAS"
12,881,"HAS"
12,882,"HAS"
12,883,"HAS"
12,884,"HAS"
12,885,"HAS"
12,886,"HAS"
12,887,"HAS"
12,888,"HAS"
13,889,"HAS"
13,890,"HAS"
13,891,"HAS"
13,892,"HAS"
13,893,"HAS"
13,894,"HAS"
13,895,"HAS"
13,896,"HAS"
13,897,"HAS"
13,898,"HAS"
13,899,"HAS"
13,900,"HAS"
14,901,"HAS"
14,902,"HAS"
14,903,"HAS"
14,904,"HAS"
14,905,"HAS"
14,906,"HAS"
14,907,"HAS"
14,908,"HAS"
14,909,"HAS"
14,910,"HAS"
14,911,"HAS"
14,912,"HAS"
15,913,"HAS"
15,914,"HAS"
15,915,"HAS"
15,916,"HAS"
15,917,"HAS"
15,918,"HAS"
15,919,"HAS"
15,920,"HAS"
15,921,"HAS"
15,922,"HAS"
15,923,"HAS"
15,924,"HAS"
16,925,"HAS"
16,926,"HAS"
16,927,"HAS"
16,928,"HAS"
16,929,"HAS"
16,930,"HAS"
16,931,"HAS"
16,932,"HAS"
16,933,"HAS"
16,934,"HAS"
16,935,"HAS"
16,936,"HAS"
17,937,"HAS"
17,938,"HAS"
17,939,"HAS"
17,940,"HAS"
17,941,"HAS"
17,942,"HAS"
17,943,"HAS"
17,944,"HAS"
17,945,"HAS"
17,946,"HAS"
17,947,"HAS"
17,948,"HAS"
18,949,"HAS"
18,950,"HAS"
18,951,"HAS"
18,952,"HAS"
18,953,"HAS"
18,954,"HAS"
18,955,"HAS"
18,956,"HAS"
18,957,"HAS"
18,958,"HAS"
18,959,"HAS"
18,960,"HAS"
19,961,"HAS"
19,962,"HAS"
19,963,"HAS"
19,964,"HAS"
19,965,"HAS"
19,966,"HAS"
19,967,"HAS"
19,968,"HAS"
19,969,"HAS"
19,970,"HAS"
19,971,"HAS"
19,972,"HAS"
20,973,"HAS"
20,974,"HAS"
20,975,"HAS"
20,976,"HAS"
20,977,"HAS"
20,978,"HAS"
20,979,"HAS"
20,980,"HAS"
20,981,"HAS"
20,982,"HAS"
20,983,"HAS"
20,984,"HAS"
21,985,"HAS"
21,986,"HAS"
21,987,"HAS"
21,988,"HAS"
21,989,"HAS"
21,990,"HAS"
21,991,"HAS"
21,992,"HAS"
21,993,"HAS"
21,994,"HAS"
21,995,"HAS"
21,996,"HAS"
22,997,"HAS"
22,998,"HAS"
22,999,"HAS"
22,1000,"HAS"
22,1001,"HAS"
22,1002,"HAS"
22,1003,"HAS"
22,1004,"HAS"
22,1005,"HAS"
22,1006,"HAS"
22,1007,"HAS"
22,1008,"HAS"
23,1009,"HAS"
23,1010,"HAS"
23,1011,"HAS"
23,1012,"HAS"
23,1013,"HAS"
23,1014,"HAS"
23,1015,"HAS"
23,1016,"HAS"
23,1017,"HAS"
23,1018,"HAS"
23,1019,"HAS"
23,1020,"HAS"
24,1021,"HAS"
24,1022,"HAS"
24,1023,"HAS"
24,1024,"HAS"
24,1025,"HAS"
24,1026,"HAS"
24,1027,"HAS"
24,1028,"HAS"
24,1029,"HAS"
24,1030,"HAS"
24,1031,"HAS"
24,1032,"HAS"
25,1033,"HAS"
25,1034,"HAS"
25,1035,"HAS"
25,1036,"HAS"
25,1037,"HAS"
25,1038,"HAS"
25,1039,"HAS"
25,1040,"HAS"
25,1041,"HAS"
25,1042,"HAS"
25,1043,"HAS"
25,1044,"HAS"
26,1045,"HAS"
26,1046,"HAS"
26,1047,"HAS"
26,1048,"HAS"
26,1049,"HAS"
26,1050,"HAS"
26,1051,"HAS"
26,1052,"HAS"
26,1053,"HAS"
26,1054,"HAS"
26,1055,"HAS"
26,1056,"HAS"
27,1057,"HAS"
27,1058,"HAS"
27,1059,"HAS"
27,1060,"HAS"
27,1061,"HAS"
27,1062,"HAS"
27,1063,"HAS"
27,1064,"HAS"
27,1065,"HAS"
27,1066,"HAS"
27,1067,"HAS"
27,1068,"HAS"
28,1069,"HAS"
28,1070,"HAS"
28,1071,"HAS"
28,1072,"HAS"
28,1073,"HAS"
28,1074,"HAS"
28,1075,"HAS"
28,1076,"HAS"
28,1077,"HAS"
28,1078,"HAS"
28,1079,"HAS"
28,1080,"HAS"
29,1081,"HAS"
29,1082,"HAS"
29,1083,"HAS"
29,1084,"HAS"
29,1085,"HAS"
29,1086,"HAS"
29,1087,"HAS"
29,1088,"HAS"
29,1089,"HAS"
29,1090,"HAS"
29,1091,"HAS"
29,1092,"HAS"
30,1093,"HAS"
30,1094,"HAS"
30,1095,"HAS"
30,1096,"HAS"
30,1097,"HAS"
30,1098,"HAS"
30,1099,"HAS"
30,1100,"HAS"
30,1101,"HAS"
30,1102,"HAS"
30,1103,"HAS"
30,1104,"HAS"
31,1105,"HAS"
31,1106,"HAS"
31,1107,"HAS"
31,1108,"HAS"
31,1109,"HAS"
31,1110,"HAS"
31,1111,"HAS"
31,1112,"HAS"
31,1113,"HAS"
31,1114,"HAS"
31,1115,"HAS"
31,1116,"HAS"
32,1117,"HAS"
32,1118,"HAS"
32,1119,"HAS"
32,1120,"HAS"
32,1121,"HAS"
32,1122,"HAS"
32,1123,"HAS"
32,1124,"HAS"
32,1125,"HAS"
32,1126,"HAS"
32,1127,"HAS"
32,1128,"HAS"
33,1129,"HAS"
33,1130,"HAS"
33,1131,"HAS"
33,1132,"HAS"
33,1133,"HAS"
33,1134,"HAS"
33,1135,"HAS"
33,1136,"HAS"
33,1137,"HAS"
33,1138,"HAS"
33,1139,"HAS"
33,1140,"HAS"
34,1141,"HAS"
34,1142,"HAS"
34,1143,"HAS"
34,1144,"HAS"
34,1145,"HAS"
34,1146,"HAS"
34,1147,"HAS"
34,1148,"HAS"
34,1149,"HAS"
34,1150,"HAS"
34,1151,"HAS"
34,1152,"HAS"
35,1153,"HAS"
35,1154,"HAS"
35,1155,"HAS"
35,1156,"HAS"
35,1157,"HAS"
35,1158,"HAS"
35,1159,"HAS"
35,1160,"HAS"
35,1161,"HAS"
35,1162,"HAS"
35,1163,"HAS"
35,1164,"HAS"
36,1165,"HAS"
36,1166,"HAS"
36,1167,"HAS"
36,1168,"HAS"
36,1169,"HAS"
36,1170,"HAS"
36,1171,"HAS"
36,1172,"HAS"
36,1173,"HAS"
36,1174,"HAS"
36,1175,"HAS"
36,1176,"HAS"
37,1177,"HAS"
37,1178,"HAS"
37,1179,"HAS"
37,1180,"HAS"
37,1181,"HAS"
37,1182,"HAS"
37,1183,"HAS"
37,1184,"HAS"
37,1185,"HAS"
37,1186,"HAS"
37,1187,"HAS"
37,1188,"HAS"
38,1189,"HAS"
38,1190,"HAS"
38,1191,"HAS"
38,1192,"HAS"
38,1193,"HAS"
38,1194,"HAS"
38,1195,"HAS"
38,1196,"HAS"
38,1197,"HAS"
38,1198,"HAS"
38,1199,"HAS"
38,1200,"HAS"
39,1201,"HAS"
39,1202,"HAS"
39,1203,"HAS"
39,1204,"HAS"
39,1205,"HAS"
39,1206,"HAS"
39,1207,"HAS"
39,1208,"HAS"
39,1209,"HAS"
39,1210,"HAS"
39,1211,"HAS"
39,1212,"HAS"
40,1213,"HAS"
40,1214,"HAS"
40,1215,"HAS"
40,1216,"HAS"
40,1217,"HAS"
40,1218,"HAS"
40,1219,"HAS"
40,1220,"HAS"
40,1221,"HAS"
40,1222,"HAS"
40,1223,"HAS"
40,1224,"HAS"
41,1225,"HAS"
41,1226,"HAS"
41,1227,"HAS"
41,1228,"HAS"
41,1229,"HAS"
41,1230,"HAS"
41,1231,"HAS"
41,1232,"HAS"
41,1233,"HAS"
41,1234,"HAS"
41,1235,"HAS"
41,1236,"HAS"
42,1237,"HAS"
42,1238,"HAS"
42,1239,"HAS"
42,1240,"HAS"
42,1241,"HAS"
42,1242,"HAS"
42,1243,"HAS"
42,1244,"HAS"
42,1245,"HAS"
42,1246,"HAS"
42,1247,"HAS"
42,1248,"HAS"
43,1249,"HAS"
43,1250,"HAS"
43,1251,"HAS"
43,1252,"HAS"
43,1253,"HAS"
43,1254,"HAS"
43,1255,"HAS"
43,1256,"HAS"
43,1257,"HAS"
43,1258,"HAS"
43,1259,"HAS"
43,1260,"HAS"
44,1261,"HAS"
44,1262,"HAS"
44,1263,"HAS"
44,1264,"HAS"
44,1265,"HAS"
44,1266,"HAS"
44,1267,"HAS"
44,1268,"HAS"
44,1269,"HAS"
44,1270,"HAS"
44,1271,"HAS"
44,1272,"HAS"
45,1273,"HAS"
45,1274,"HAS"
45,1275,"HAS"
45,1276,"HAS"
45,1277,"HAS"
45,1278,"HAS"
45,1279,"HAS"
45,1280,"HAS"
45,1281,"HAS"
45,1282,"HAS"
45,1283,"HAS"
45,1284,"HAS"
46,1285,"HAS"
46,1286,"HAS"
46,1287,"HAS"
46,1288,"HAS"
46,1289,"HAS"
46,1290,"HAS"
46,1291,"HAS"
46,1292,"HAS"
46,1293,"HAS"
46,1294,"HAS"
46,1295,"HAS"
46,1296,"HAS"
47,1297,"HAS"
47,1298,"HAS"
47,1299,"HAS"
47,1300,"HAS"
47,1301,"HAS"
47,1302,"HAS"
47,1303,"HAS"
47,1304,"HAS"
47,1305,"HAS"
47,1306,"HAS"
47,1307,"HAS"
47,1308,"HAS"
48,1309,"HAS"
48,1310,"HAS"
48,1311,"HAS"
48,1312,"HAS"
48,1313,"HAS"
48,1314,"HAS"
48,1315,"HAS"
48,1316,"HAS"
48,1317,"HAS"
48,1318,"HAS"
48,1319,"HAS"
48,1320,"HAS"
49,1321,"HAS"
49,1322,"HAS"
49,1323,"HAS"
49,1324,"HAS"
49,1325,"HAS"
49,1326,"HAS"
49,1327,"HAS"
49,1328,"HAS"
49,1329,"HAS"
49,1330,"HAS"
49,1331,"HAS"
49,1332,"HAS"
50,1333,"HAS"
50,1334,"HAS"
50,1335,"HAS"
50,1336,"HAS"
50,1337,"HAS"
50,1338,"HAS"
50,1339,"HAS"
50,1340,"HAS"
50,1341,"HAS"
50,1342,"HAS"
50,1343,"HAS"
50,1344,"HAS"
