"from","to","type"
1,51,"OWNS"
1,101,"OWNS"
1,143,"OWNS"
1,167,"OWNS"
1,187,"OWNS"
1,203,"OWNS"
2,52,"OWNS"
2,102,"OWNS"
2,144,"OWNS"
2,168,"OWNS"
2,188,"OWNS"
2,204,"OWNS"
2,217,"OWNS"
2,228,"OWNS"
2,237,"OWNS"
2,244,"OWNS"
3,53,"OWNS"
4,54,"OWNS"
4,103,"OWNS"
5,55,"OWNS"
5,104,"OWNS"
5,145,"OWNS"
5,169,"OWNS"
5,189,"OWNS"
5,205,"OWNS"
5,218,"OWNS"
5,229,"OWNS"
6,56,"OWNS"
7,57,"OWNS"
7,105,"OWNS"
7,146,"OWNS"
7,170,"OWNS"
8,58,"OWNS"
9,59,"OWNS"
9,106,"OWNS"
10,60,"OWNS"
10,107,"OWNS"
10,147,"OWNS"
10,171,"OWNS"
10,190,"OWNS"
11,61,"OWNS"
11,108,"OWNS"
12,62,"OWNS"
12,109,"OWNS"
13,63,"OWNS"
13,110,"OWNS"
14,64,"OWNS"
15,65,"OWNS"
15,111,"OWNS"
16,66,"OWNS"
16,112,"OWNS"
16,148,"OWNS"
16,172,"OWNS"
17,67,"OWNS"
18,68,"OWNS"
18,113,"OWNS"
18,149,"OWNS"
18,173,"OWNS"
18,191,"OWNS"
18,206,"OWNS"
19,69,"OWNS"
19,114,"OWNS"
20,70,"OWNS"
20,115,"OWNS"
20,150,"OWNS"
20,174,"OWNS"
21,71,"OWNS"
21,116,"OWNS"
22,72,"OWNS"
22,117,"OWNS"
23,73,"OWNS"
23,118,"OWNS"
24,74,"OWNS"
24,119,"OWNS"
24,151,"OWNS"
24,175,"OWNS"
24,192,"OWNS"
24,207,"OWNS"
24,219,"OWNS"
24,230,"OWNS"
24,238,"OWNS"
24,245,"OWNS"
25,75,"OWNS"
25,120,"OWNS"
26,76,"OWNS"
26,121,"OWNS"
26,152,"OWNS"
26,176,"OWNS"
27,77,"OWNS"
27,122,"OWNS"
27,153,"OWNS"
28,78,"OWNS"
28,123,"OWNS"
29,79,"OWNS"
30,80,"OWNS"
30,124,"OWNS"
30,154,"OWNS"
30,177,"OWNS"
30,193,"OWNS"
30,208,"OWNS"
30,220,"OWNS"
30,231,"OWNS"
30,239,"OWNS"
30,246,"OWNS"
31,81,"OWNS"
31,125,"OWNS"
32,82,"OWNS"
32,126,"OWNS"
33,83,"OWNS"
33,127,"OWNS"
33,155,"OWNS"
33,178,"OWNS"
33,194,"OWNS"
33,209,"OWNS"
33,221,"OWNS"
33,232,"OWNS"
33,240,"OWNS"
33,247,"OWNS"
34,84,"OWNS"
34,128,"OWNS"
35,85,"OWNS"
36,86,"OWNS"
36,129,"OWNS"
36,156,"OWNS"
37,87,"OWNS"
37,130,"OWNS"
38,88,"OWNS"
39,89,"OWNS"
39,131,"OWNS"
39,157,"OWNS"
39,179,"OWNS"
39,195,"OWNS"
39,210,"OWNS"
39,222,"OWNS"
40,90,"OWNS"
40,132,"OWNS"
41,91,"OWNS"
41,133,"OWNS"
41,158,"OWNS"
41,180,"OWNS"
41,196,"OWNS"
41,211,"OWNS"
41,223,"OWNS"
42,92,"OWNS"
42,134,"OWNS"
42,159,"OWNS"
43,93,"OWNS"
43,135,"OWNS"
43,160,"OWNS"
43,181,"OWNS"
43,197,"OWNS"
43,212,"OWNS"
43,224,"OWNS"
43,233,"OWNS"
43,241,"OWNS"
43,248,"OWNS"
44,94,"OWNS"
44,136,"OWNS"
44,161,"OWNS"
44,182,"OWNS"
44,198,"OWNS"
45,95,"OWNS"
45,137,"OWNS"
45,162,"OWNS"
45,183,"OWNS"
45,199,"OWNS"
45,213,"OWNS"
45,225,"OWNS"
45,234,"OWNS"
45,242,"OWNS"
45,249,"OWNS"
46,96,"OWNS"
46,138,"OWNS"
47,97,"OWNS"
47,139,"OWNS"
47,163,"OWNS"
47,184,"OWNS"
47,200,"OWNS"
47,214,"OWNS"
48,98,"OWNS"
48,140,"OWNS"
48,164,"OWNS"
48,185,"OWNS"
48,201,"OWNS"
48,215,"OWNS"
48,226,"OWNS"
48,235,"OWNS"
49,99,"OWNS"
49,141,"OWNS"
49,165,"OWNS"
50,100,"OWNS"
50,142,"OWNS"
50,166,"OWNS"
50,186,"OWNS"
50,202,"OWNS"
50,216,"OWNS"
50,227,"OWNS"
50,236,"OWNS"
50,243,"OWNS"
50,250,"OWNS"
501,505,"OWNS"
501,506,"OWNS"
501,507,"OWNS"
501,508,"OWNS"
501,509,"OWNS"
502,510,"OWNS"
502,511,"OWNS"
502,512,"OWNS"
502,513,"OWNS"
502,514,"OWNS"
503,515,"OWNS"
503,516,"OWNS"
503,517,"OWNS"
503,518,"OWNS"
503,519,"OWNS"
504,520,"OWNS"
504,521,"OWNS"
504,522,"OWNS"
504,523,"OWNS"
504,524,"OWNS"
