"from","to","type"
1,51,"OWNS"
1,101,"OWNS"
1,142,"OWNS"
2,52,"OWNS"
2,102,"OWNS"
2,143,"OWNS"
2,175,"OWNS"
2,194,"OWNS"
3,53,"OWNS"
4,54,"OWNS"
5,55,"OWNS"
6,56,"OWNS"
7,57,"OWNS"
7,103,"OWNS"
7,144,"OWNS"
8,58,"OWNS"
8,104,"OWNS"
9,59,"OWNS"
9,105,"OWNS"
9,145,"OWNS"
9,176,"OWNS"
9,195,"OWNS"
10,60,"OWNS"
10,106,"OWNS"
10,146,"OWNS"
10,177,"OWNS"
11,61,"OWNS"
12,62,"OWNS"
12,107,"OWNS"
12,147,"OWNS"
12,178,"OWNS"
12,196,"OWNS"
13,63,"OWNS"
13,108,"OWNS"
13,148,"OWNS"
14,64,"OWNS"
15,65,"OWNS"
15,109,"OWNS"
15,149,"OWNS"
16,66,"OWNS"
16,110,"OWNS"
16,150,"OWNS"
17,67,"OWNS"
17,111,"OWNS"
17,151,"OWNS"
17,179,"OWNS"
18,68,"OWNS"
18,112,"OWNS"
19,69,"OWNS"
19,113,"OWNS"
19,152,"OWNS"
20,70,"OWNS"
20,114,"OWNS"
20,153,"OWNS"
20,180,"OWNS"
20,197,"OWNS"
20,208,"OWNS"
20,219,"OWNS"
20,229,"OWNS"
20,239,"OWNS"
21,71,"OWNS"
21,115,"OWNS"
21,154,"OWNS"
21,181,"OWNS"
21,198,"OWNS"
21,209,"OWNS"
21,220,"OWNS"
21,230,"OWNS"
21,240,"OWNS"
22,72,"OWNS"
22,116,"OWNS"
22,155,"OWNS"
23,73,"OWNS"
23,117,"OWNS"
24,74,"OWNS"
24,118,"OWNS"
24,156,"OWNS"
25,75,"OWNS"
25,119,"OWNS"
25,157,"OWNS"
25,182,"OWNS"
26,76,"OWNS"
26,120,"OWNS"
26,158,"OWNS"
27,77,"OWNS"
28,78,"OWNS"
28,121,"OWNS"
28,159,"OWNS"
29,79,"OWNS"
29,122,"OWNS"
29,160,"OWNS"
30,80,"OWNS"
31,81,"OWNS"
31,123,"OWNS"
31,161,"OWNS"
31,183,"OWNS"
31,199,"OWNS"
31,210,"OWNS"
31,221,"OWNS"
31,231,"OWNS"
31,241,"OWNS"
32,82,"OWNS"
32,124,"OWNS"
33,83,"OWNS"
33,125,"OWNS"
33,162,"OWNS"
34,84,"OWNS"
34,126,"OWNS"
34,163,"OWNS"
34,184,"OWNS"
34,200,"OWNS"
34,211,"OWNS"
34,222,"OWNS"
34,232,"OWNS"
34,242,"OWNS"
35,85,"OWNS"
35,127,"OWNS"
35,164,"OWNS"
36,86,"OWNS"
36,128,"OWNS"
37,87,"OWNS"
37,129,"OWNS"
37,165,"OWNS"
37,185,"OWNS"
37,201,"OWNS"
37,212,"OWNS"
37,223,"OWNS"
37,233,"OWNS"
38,88,"OWNS"
38,130,"OWNS"
38,166,"OWNS"
39,89,"OWNS"
39,131,"OWNS"
39,167,"OWNS"
39,186,"OWNS"
39,202,"OWNS"
39,213,"OWNS"
39,224,"OWNS"
39,234,"OWNS"
39,243,"OWNS"
40,90,"OWNS"
40,132,"OWNS"
40,168,"OWNS"
40,187,"OWNS"
41,91,"OWNS"
41,133,"OWNS"
42,92,"OWNS"
42,134,"OWNS"
42,169,"OWNS"
42,188,"OWNS"
42,203,"OWNS"
42,214,"OWNS"
42,225,"OWNS"
42,235,"OWNS"
42,244,"OWNS"
43,93,"OWNS"
43,135,"OWNS"
44,94,"OWNS"
44,136,"OWNS"
44,170,"OWNS"
44,189,"OWNS"
44,204,"OWNS"
44,215,"OWNS"
44,226,"OWNS"
44,236,"OWNS"
44,245,"OWNS"
44,248,"OWNS"
45,95,"OWNS"
45,137,"OWNS"
45,171,"OWNS"
45,190,"OWNS"
45,205,"OWNS"
45,216,"OWNS"
45,227,"OWNS"
45,237,"OWNS"
45,246,"OWNS"
45,249,"OWNS"
46,96,"OWNS"
46,138,"OWNS"
46,172,"OWNS"
46,191,"OWNS"
46,206,"OWNS"
46,217,"OWNS"
47,97,"OWNS"
47,139,"OWNS"
47,173,"OWNS"
47,192,"OWNS"
48,98,"OWNS"
49,99,"OWNS"
49,140,"OWNS"
49,174,"OWNS"
49,193,"OWNS"
49,207,"OWNS"
49,218,"OWNS"
49,228,"OWNS"
49,238,"OWNS"
49,247,"OWNS"
49,250,"OWNS"
50,100,"OWNS"
50,141,"OWNS"
501,505,"OWNS"
501,506,"OWNS"
501,507,"OWNS"
501,508,"OWNS"
501,509,"OWNS"
502,510,"OWNS"
502,511,"OWNS"
502,512,"OWNS"
502,513,"OWNS"
502,514,"OWNS"
503,515,"OWNS"
503,516,"OWNS"
503,517,"OWNS"
503,518,"OWNS"
503,519,"OWNS"
504,520,"OWNS"
504,521,"OWNS"
504,522,"OWNS"
504,523,"OWNS"
504,524,"OWNS"
