"id","label","CoSize"
"1","C","med"
"2","C","med"
"3","C","small"
"4","C","small"
"5","C","small"
"6","C","small"
"7","C","small"
"8","C","small"
"9","C","small"
"10","C","small"
"11","C","small"
"12","C","small"
"13","C","small"
"14","C","small"
"15","C","small"
"16","C","small"
"17","C","small"
"18","C","small"
"19","C","small"
"20","C","small"
"21","C","small"
"22","C","small"
"23","C","small"
"24","C","med"
"25","C","small"
"26","C","small"
"27","C","small"
"28","C","small"
"29","C","small"
"30","C","med"
"31","C","small"
"32","C","small"
"33","C","med"
"34","C","small"
"35","C","small"
"36","C","small"
"37","C","small"
"38","C","small"
"39","C","small"
"40","C","small"
"41","C","med"
"42","C","small"
"43","C","large"
"44","C","small"
"45","C","large"
"46","C","small"
"47","C","med"
"48","C","med"
"49","C","small"
"50","C","large"
