"from","to","type"
470,1345,NA
490,1346,NA
448,1347,NA
435,1348,NA
448,1350,NA
349,1352,NA
435,1355,NA
301,1356,NA
349,1358,NA
415,1359,NA
416,1361,NA
350,1363,NA
471,1364,NA
482,1365,NA
471,1367,NA
252,1368,NA
449,1369,NA
491,1370,NA
449,1371,NA
449,1372,NA
303,1373,NA
390,1375,NA
253,1377,NA
253,1379,NA
253,1380,NA
390,1381,NA
390,1382,NA
351,1383,NA
390,1385,NA
351,1388,NA
254,1390,NA
254,1391,NA
254,1393,NA
254,1394,NA
254,1395,NA
254,1397,NA
254,1398,NA
254,1401,NA
254,1403,NA
254,1406,NA
352,1407,NA
352,1409,NA
352,1410,NA
352,1411,NA
391,1412,NA
391,1414,NA
304,1417,NA
304,1420,NA
304,1422,NA
352,1423,NA
256,1426,NA
305,1428,NA
353,1429,NA
353,1430,NA
305,1431,NA
256,1433,NA
256,1434,NA
256,1437,NA
305,1440,NA
256,1442,NA
306,1444,NA
306,1445,NA
354,1448,NA
392,1449,NA
257,1452,NA
257,1454,NA
354,1455,NA
306,1456,NA
257,1457,NA
392,1458,NA
258,1459,NA
307,1461,NA
258,1462,NA
258,1464,NA
307,1466,NA
393,1468,NA
355,1469,NA
307,1470,NA
393,1472,NA
307,1473,NA
259,1475,NA
308,1476,NA
308,1477,NA
356,1479,NA
259,1480,NA
259,1482,NA
259,1483,NA
259,1484,NA
308,1485,NA
356,1487,NA
417,1489,NA
309,1490,NA
260,1491,NA
357,1492,NA
357,1494,NA
417,1496,NA
417,1497,NA
417,1500,NA
260,1503,NA
417,1504,NA
310,1505,NA
261,1506,NA
261,1507,NA
261,1508,NA
261,1509,NA
261,1511,NA
261,1514,NA
310,1515,NA
310,1517,NA
261,1520,NA
262,1522,NA
311,1523,NA
358,1525,NA
311,1527,NA
262,1528,NA
262,1530,NA
262,1531,NA
262,1532,NA
358,1533,NA
262,1535,NA
359,1536,NA
359,1537,NA
359,1538,NA
312,1539,NA
312,1541,NA
418,1543,NA
263,1545,NA
312,1546,NA
418,1547,NA
359,1548,NA
313,1551,NA
360,1553,NA
313,1556,NA
264,1558,NA
360,1560,NA
360,1562,NA
264,1564,NA
264,1565,NA
360,1566,NA
264,1567,NA
265,1570,NA
396,1573,NA
361,1574,NA
361,1576,NA
265,1577,NA
396,1579,NA
314,1580,NA
265,1583,NA
361,1586,NA
265,1587,NA
266,1589,NA
315,1590,NA
362,1593,NA
266,1595,NA
315,1598,NA
362,1599,NA
362,1601,NA
266,1602,NA
362,1603,NA
266,1604,NA
363,1605,NA
397,1607,NA
397,1608,NA
316,1611,NA
420,1612,NA
420,1613,NA
267,1615,NA
267,1616,NA
397,1618,NA
397,1619,NA
268,1620,NA
268,1622,NA
268,1623,NA
268,1625,NA
317,1626,NA
268,1629,NA
317,1630,NA
317,1632,NA
317,1633,NA
317,1635,NA
318,1636,NA
269,1637,NA
269,1638,NA
318,1642,NA
269,1644,NA
318,1646,NA
318,1648,NA
269,1649,NA
269,1652,NA
318,1653,NA
364,1654,NA
319,1655,NA
364,1657,NA
364,1659,NA
319,1660,NA
319,1661,NA
364,1662,NA
319,1663,NA
270,1664,NA
270,1666,NA
271,1667,NA
365,1670,NA
320,1672,NA
398,1673,NA
365,1675,NA
271,1677,NA
398,1678,NA
421,1680,NA
398,1682,NA
320,1685,NA
366,1687,NA
422,1690,NA
321,1693,NA
321,1694,NA
321,1697,NA
366,1700,NA
422,1702,NA
399,1704,NA
321,1705,NA
399,1707,NA
322,1709,NA
273,1710,NA
322,1713,NA
322,1714,NA
273,1716,NA
322,1717,NA
273,1719,NA
273,1720,NA
273,1721,NA
273,1723,NA
472,1724,NA
423,1725,NA
274,1726,NA
400,1728,NA
367,1729,NA
461,1730,NA
461,1731,NA
450,1733,NA
423,1736,NA
450,1737,NA
401,1738,NA
368,1740,NA
324,1743,NA
324,1745,NA
275,1746,NA
275,1747,NA
275,1749,NA
324,1750,NA
324,1751,NA
324,1752,NA
369,1753,NA
