from,to,type
1350,1353,Accident
1359,1361,Accident
1365,1367,Accident
1369,1371,Accident
1378,1380,Accident
1383,1384,Accident
1392,1395,Accident
1402,1403,Accident
1413,1414,Accident
1416,1418,Accident
1428,1430,Accident
1441,1442,Accident
1446,1447,Accident
1451,1454,Accident
1458,1460,Accident
1462,1463,Accident
1470,1473,Accident
1495,1496,Accident
1512,1514,Accident
1536,1539,Accident
1540,1541,Accident
1546,1549,Accident
1560,1563,Accident
1575,1576,Accident
1577,1579,Accident
1586,1588,Accident
1594,1595,Accident
1597,1599,Accident
1600,1603,Accident
1609,1610,Accident
1613,1615,Accident
1623,1624,Accident
1630,1631,Accident
1632,1634,Accident
1637,1638,Accident
1642,1644,Accident
1653,1655,Accident
1656,1659,Accident
1660,1662,Accident
1663,1664,Accident
1669,1671,Accident
1675,1677,Accident
1698,1701,Accident
1704,1706,Accident
1711,1713,Accident
1726,1727,Accident
1737,1738,Accident
1744,1745,Accident
1765,1767,Accident
1776,1777,Accident
1842,1844,Accident
1848,1850,Accident
1861,1862,Accident
1878,1880,Accident
1882,1883,Accident
1902,1904,Accident
1919,1921,Accident
1923,1924,Accident
1940,1942,Accident
1945,1946,Accident
1950,1951,Accident
1958,1959,Accident
1960,1962,Accident
1965,1966,Accident
1975,1977,Accident
1992,1995,Accident
1997,1999,Accident
2000,2002,Accident
2019,2021,Accident
2022,2023,Accident
2028,2030,Accident
2033,2034,Accident
2035,2038,Accident
2050,2051,Accident
2056,2057,Accident
2070,2072,Accident
2073,2075,Accident
2076,2079,Accident
2089,2092,Accident
2093,2094,Accident
2099,2100,Accident
2107,2109,Accident
2118,2120,Accident
2121,2122,Accident
2125,2128,Accident
2136,2138,Accident
2139,2140,Accident
2141,2142,Accident
2155,2157,Accident
2158,2161,Accident
2162,2164,Accident
2181,2183,Accident
2184,2186,Accident
2190,2192,Accident
2204,2207,Accident
2208,2209,Accident
2215,2216,Accident
2220,2222,Accident
2223,2225,Accident
2242,2244,Accident
2245,2247,Accident
2265,2267,Accident
2269,2272,Accident
2318,2320,Accident
2325,2328,Accident
2335,2337,Accident
2339,2341,Accident
2345,2347,Accident
2351,2353,Accident
2372,2373,Accident
2382,2384,Accident
2386,2387,Accident
2392,2394,Accident
2405,2408,Accident
2409,2411,Accident
2416,2419,Accident
2424,2426,Accident
2427,2430,Accident
2433,2435,Accident
2458,2460,Accident
2465,2468,Accident
2487,2489,Accident
2493,2495,Accident
2496,2497,Accident
2498,2500,Accident
2509,2511,Accident
2515,2517,Accident
2527,2529,Accident
2530,2531,Accident
2532,2533,Accident
2546,2547,Accident
2561,2563,Accident
2586,2588,Accident
2596,2598,Accident
2613,2615,Accident
2619,2620,Accident
2635,2637,Accident
2647,2649,Accident
2650,2652,Accident
2656,2658,Accident
2665,2668,Accident
2669,2671,Accident
2679,2681,Accident
2685,2688,Accident
2700,2703,Accident
2725,2727,Accident
2745,2747,Accident
2772,2773,Accident
2785,2786,Accident
2793,2796,Accident
2806,2809,Accident
2817,2818,Accident
2819,2821,Accident
2822,2823,Accident
2824,2826,Accident
2831,2833,Accident
2838,2841,Accident
2844,2846,Accident
2866,2867,Accident
2868,2870,Accident
2881,2882,Accident
2887,2888,Accident
2897,2899,Accident
2912,2914,Accident
2916,2917,Accident
2921,2922,Accident
2924,2926,Accident
2929,2930,Accident
2931,2934,Accident
2939,2941,Accident
2943,2945,Accident
2946,2948,Accident
2952,2955,Accident
2965,2967,Accident
2969,2970,Accident
2983,2985,Accident
2991,2992,Accident
3017,3019,Accident
3023,3025,Accident
3034,3035,Accident
3039,3041,Accident
3043,3044,Accident
3045,3047,Accident
3048,3050,Accident
3069,3070,Accident
3076,3077,Accident
3084,3087,Accident
3088,3089,Accident
3090,3091,Accident
3106,3107,Accident
3113,3115,Accident
3122,3124,Accident
3147,3148,Accident
3149,3151,Accident
3176,3177,Accident
3195,3198,Accident
3203,3204,Accident
3210,3211,Accident
3224,3226,Accident
3229,3231,Accident
3253,3256,Accident
3285,3287,Accident
3293,3295,Accident
3297,3299,Accident
3301,3302,Accident
3303,3305,Accident
3308,3311,Accident
3318,3319,Accident
3322,3324,Accident
3331,3333,Accident
3336,3337,Accident
3341,3342,Accident
3343,3345,Accident
3346,3348,Accident
3349,3351,Accident
3361,3362,Accident
3363,3364,Accident
3377,3378,Accident
3381,3384,Accident
3385,3387,Accident
3389,3390,Accident
3391,3393,Accident
3394,3396,Accident
3400,3403,Accident
3413,3415,Accident
3419,3421,Accident
3424,3426,Accident
3442,3443,Accident
3444,3445,Accident
3449,3451,Accident
3460,3461,Accident
3482,3484,Accident
3495,3497,Accident
3513,3515,Accident
3539,3541,Accident
3544,3545,Accident
3560,3561,Accident
3566,3568,Accident
3576,3578,Accident
3595,3597,Accident
3598,3600,Accident
3601,3602,Accident
3609,3610,Accident
3613,3615,Accident
3619,3620,Accident
3636,3638,Accident
3645,3647,Accident
3651,3653,Accident
3667,3669,Accident
3697,3698,Accident
3700,3701,Accident
3725,3726,Accident
3734,3735,Accident
3736,3737,Accident
3760,3761,Accident
3772,3774,Accident
3802,3803,Accident
3811,3812,Accident
3817,3819,Accident
3823,3825,Accident
3830,3832,Accident
3842,3844,Accident
3860,3861,Accident
3868,3870,Accident
3876,3878,Accident
3879,3881,Accident
3895,3897,Accident
3899,3901,Accident
3902,3903,Accident
3907,3908,Accident
3911,3913,Accident
3921,3923,Accident
3938,3939,Accident
3946,3948,Accident
3949,3950,Accident
3951,3953,Accident
3963,3965,Accident
3968,3970,Accident
3973,3974,Accident
3986,3987,Accident
3988,3989,Accident
3996,3998,Accident
4005,4006,Accident
4008,4010,Accident
4011,4012,Accident
4018,4020,Accident
4028,4029,Accident
4046,4047,Accident
4053,4054,Accident
4055,4056,Accident
4057,4059,Accident
4067,4069,Accident
4070,4072,Accident
4086,4087,Accident
4088,4089,Accident
4094,4096,Accident
4099,4100,Accident
4112,4114,Accident
4115,4118,Accident
4121,4123,Accident
4133,4134,Accident
4151,4152,Accident
4157,4159,Accident
4166,4168,Accident
4176,4178,Accident
4197,4199,Accident
4204,4207,Accident
4208,4209,Accident
4210,4212,Accident
4232,4234,Accident
4240,4242,Accident
4249,4252,Accident
4264,4267,Accident
4272,4273,Accident
4283,4285,Accident
4287,4288,Accident
4300,4301,Accident
4323,4325,Accident
4328,4329,Accident
4331,4333,Accident
4347,4349,Accident
4355,4356,Accident
4357,4358,Accident
4367,4368,Accident
4371,4372,Accident
4377,4379,Accident
4388,4389,Accident
4403,4404,Accident
4408,4410,Accident
4416,4417,Accident
4445,4447,Accident
4454,4457,Accident
4462,4464,Accident
4473,4476,Accident
4488,4490,Accident
4492,4493,Accident
4515,4517,Accident
4524,4525,Accident
4557,4560,Accident
4569,4570,Accident
4582,4583,Accident
4586,4588,Accident
4590,4591,Accident
4598,4601,Accident
4602,4605,Accident
4621,4622,Accident
4625,4627,Accident
4654,4656,Accident
4669,4670,Accident
4676,4677,Accident
4689,4690,Accident
4696,4698,Accident
4704,4705,Accident
4713,4714,Accident
4717,4719,Accident
4726,4728,Accident
4732,4734,Accident
4754,4756,Accident
4757,4758,Accident
4759,4761,Accident
4762,4764,Accident
4792,4794,Accident
4795,4797,Accident
4798,4799,Accident
4800,4802,Accident
4806,4808,Accident
4815,4817,Accident
4830,4832,Accident
4835,4837,Accident
4841,4842,Accident
4849,4850,Accident
4851,4853,Accident
4857,4859,Accident
4861,4863,Accident
4868,4870,Accident
4873,4875,Accident
4889,4890,Accident
4899,4902,Accident
4915,4917,Accident
4922,4924,Accident
4925,4926,Accident
4930,4931,Accident
4939,4941,Accident
4952,4954,Accident
4960,4961,Accident
4972,4974,Accident
4995,4997,Accident
5004,5006,Accident
5009,5011,Accident
5017,5018,Accident
5026,5028,Accident
5036,5038,Accident
5040,5042,Accident
5057,5059,Accident
5060,5061,Accident
5065,5067,Accident
5076,5079,Accident
5085,5087,Accident
5098,5100,Accident
5110,5113,Accident
5120,5121,Accident
5141,5142,Accident
5145,5147,Accident
5154,5155,Accident
5156,5157,Accident
5161,5163,Accident
5171,5172,Accident
5182,5184,Accident
5194,5197,Accident
5198,5200,Accident
5205,5206,Accident
5213,5214,Accident
5244,5247,Accident
5253,5254,Accident
5261,5262,Accident
5269,5271,Accident
5284,5285,Accident
5293,5296,Accident
5310,5312,Accident
5315,5318,Accident
5327,5329,Accident
5332,5334,Accident
5344,5346,Accident
5362,5364,Accident
5377,5380,Accident
5384,5385,Accident
5389,5390,Accident
5393,5395,Accident
5396,5398,Accident
5408,5410,Accident
5415,5417,Accident
5418,5419,Accident
5440,5441,Accident
5447,5449,Accident
5450,5452,Accident
5458,5460,Accident
5505,5506,Accident
5519,5521,Accident
5534,5537,Accident
5545,5546,Accident
5551,5552,Accident
5555,5558,Accident
5561,5562,Accident
5564,5566,Accident
5569,5570,Accident
5576,5579,Accident
5592,5594,Accident
5621,5622,Accident
5632,5634,Accident
5635,5637,Accident
5647,5649,Accident
