"from","to","type"
1346,1347,NA
1350,1351,NA
1357,1358,NA
1362,1363,NA
1389,1390,NA
1392,1393,NA
1398,1399,NA
1405,1406,NA
1408,1409,NA
1410,1411,NA
1419,1420,NA
1422,1423,NA
1443,1444,NA
1451,1452,NA
1468,1469,NA
1470,1471,NA
1475,1476,NA
1480,1481,NA
1488,1489,NA
1492,1493,NA
1499,1500,NA
1502,1503,NA
1509,1510,NA
1518,1519,NA
1521,1522,NA
1530,1531,NA
1532,1533,NA
1536,1537,NA
1546,1547,NA
1553,1554,NA
1556,1557,NA
1558,1559,NA
1560,1561,NA
1564,1565,NA
1567,1568,NA
1580,1581,NA
1589,1590,NA
1591,1592,NA
1600,1601,NA
1625,1626,NA
1627,1628,NA
1639,1640,NA
1656,1657,NA
1665,1666,NA
1672,1673,NA
1678,1679,NA
1680,1681,NA
1685,1686,NA
1693,1694,NA
1696,1697,NA
1698,1699,NA
1716,1717,NA
1719,1720,NA
1724,1725,NA
1731,1732,NA
1733,1734,NA
1742,1743,NA
1746,1747,NA
1750,1751,NA
1757,1758,NA
1765,1766,NA
1770,1771,NA
1773,1774,NA
1783,1784,NA
1789,1790,NA
1799,1800,NA
1812,1813,NA
1815,1816,NA
1820,1821,NA
1822,1823,NA
1825,1826,NA
1828,1829,NA
1831,1832,NA
1836,1837,NA
1842,1843,NA
1853,1854,NA
1876,1877,NA
1885,1886,NA
1887,1888,NA
1892,1893,NA
1899,1900,NA
1907,1908,NA
1919,1920,NA
1925,1926,NA
1927,1928,NA
1936,1937,NA
1956,1957,NA
1967,1968,NA
1970,1971,NA
1978,1979,NA
1986,1987,NA
1988,1989,NA
1992,1993,NA
2014,2015,NA
2024,2025,NA
2026,2027,NA
2028,2029,NA
2031,2032,NA
2035,2036,NA
2042,2043,NA
2045,2046,NA
2047,2048,NA
2052,2053,NA
2060,2061,NA
2076,2077,NA
2084,2085,NA
2089,2090,NA
2095,2096,NA
2102,2103,NA
2107,2108,NA
2110,2111,NA
2125,2126,NA
2131,2132,NA
2133,2134,NA
2145,2146,NA
2149,2150,NA
2158,2159,NA
2165,2166,NA
2168,2169,NA
2170,2171,NA
2172,2173,NA
2187,2188,NA
2194,2195,NA
2196,2197,NA
2204,2205,NA
2213,2214,NA
2218,2219,NA
2220,2221,NA
2226,2227,NA
2230,2231,NA
2233,2234,NA
2235,2236,NA
2238,2239,NA
2242,2243,NA
2248,2249,NA
2263,2264,NA
2265,2266,NA
2269,2270,NA
2273,2274,NA
2282,2283,NA
2284,2285,NA
2287,2288,NA
2290,2291,NA
2305,2306,NA
2307,2308,NA
2311,2312,NA
2316,2317,NA
2318,2319,NA
2325,2326,NA
2351,2352,NA
2355,2356,NA
2358,2359,NA
2374,2375,NA
2382,2383,NA
2395,2396,NA
2398,2399,NA
2401,2402,NA
2405,2406,NA
2416,2417,NA
2421,2422,NA
2427,2428,NA
2436,2437,NA
2442,2443,NA
2448,2449,NA
2451,2452,NA
2463,2464,NA
2465,2466,NA
2469,2470,NA
2472,2473,NA
2480,2481,NA
2484,2485,NA
2490,2491,NA
2505,2506,NA
