"from","to","type"
1356,1357,NA
1373,1374,NA
1385,1387,NA
1395,1396,NA
1398,1400,NA
1401,1402,NA
1403,1404,NA
1414,1415,NA
1426,1427,NA
1431,1432,NA
1434,1435,NA
1437,1439,NA
1440,1441,NA
1445,1446,NA
1477,1478,NA
1517,1518,NA
1548,1549,NA
1558,1559,NA
1583,1585,NA
1590,1592,NA
1626,1628,NA
1630,1631,NA
1638,1640,NA
1655,1656,NA
1667,1669,NA
1673,1674,NA
1678,1679,NA
1680,1681,NA
1687,1688,NA
1694,1696,NA
1700,1701,NA
1707,1708,NA
1717,1718,NA
1740,1742,NA
1754,1755,NA
1776,1778,NA
1781,1782,NA
1802,1803,NA
1824,1825,NA
1826,1828,NA
1839,1840,NA
1846,1848,NA
1863,1865,NA
1866,1868,NA
1869,1870,NA
1879,1880,NA
1898,1899,NA
1906,1907,NA
1915,1917,NA
1923,1924,NA
1948,1949,NA
1952,1953,NA
1964,1965,NA
1972,1973,NA
1980,1982,NA
1999,2001,NA
2029,2031,NA
2043,2044,NA
2050,2051,NA
2062,2063,NA
2069,2070,NA
2075,2076,NA
2083,2085,NA
2088,2090,NA
2092,2093,NA
2094,2095,NA
2103,2104,NA
2111,2112,NA
2134,2135,NA
2155,2156,NA
2160,2162,NA
2163,2164,NA
2166,2168,NA
2177,2178,NA
2190,2191,NA
2194,2196,NA
2197,2198,NA
2201,2203,NA
2204,2205,NA
2217,2218,NA
2223,2224,NA
2245,2246,NA
2258,2259,NA
2277,2278,NA
2279,2280,NA
2289,2290,NA
2306,2307,NA
2314,2315,NA
2332,2333,NA
2344,2345,NA
2354,2355,NA
2361,2362,NA
2378,2379,NA
2388,2389,NA
2390,2392,NA
2398,2399,NA
2400,2401,NA
2412,2413,NA
2425,2426,NA
2432,2433,NA
2447,2448,NA
2449,2450,NA
2451,2453,NA
2456,2457,NA
2458,2459,NA
2464,2465,NA
2467,2468,NA
2469,2470,NA
2475,2476,NA
2477,2478,NA
2480,2481,NA
2483,2484,NA
2497,2499,NA
2508,2509,NA
2529,2531,NA
2545,2546,NA
2581,2582,NA
2587,2588,NA
2590,2591,NA
2608,2609,NA
2625,2627,NA
2634,2635,NA
2646,2648,NA
2680,2681,NA
2692,2693,NA
2711,2713,NA
2742,2743,NA
2767,2768,NA
2772,2773,NA
2780,2781,NA
2783,2784,NA
2785,2787,NA
2792,2794,NA
2795,2796,NA
2804,2805,NA
2843,2845,NA
2848,2849,NA
2851,2852,NA
2854,2855,NA
2857,2858,NA
2899,2901,NA
2913,2914,NA
2919,2921,NA
2927,2928,NA
2946,2947,NA
2963,2964,NA
2976,2977,NA
2994,2995,NA
3004,3005,NA
3032,3034,NA
3043,3045,NA
3046,3047,NA
3059,3060,NA
3078,3079,NA
3126,3127,NA
3153,3154,NA
3159,3161,NA
3167,3169,NA
3171,3172,NA
3179,3181,NA
3185,3186,NA
3213,3214,NA
3222,3223,NA
3233,3234,NA
3257,3258,NA
3259,3261,NA
3266,3268,NA
3274,3275,NA
3302,3304,NA
3309,3311,NA
3312,3313,NA
3353,3354,NA
3356,3358,NA
3393,3394,NA
3403,3404,NA
3440,3441,NA
3454,3455,NA
3461,3462,NA
3475,3476,NA
3477,3478,NA
3503,3504,NA
3505,3507,NA
3536,3537,NA
3543,3545,NA
3558,3559,NA
3570,3572,NA
3573,3574,NA
3576,3577,NA
3591,3592,NA
3593,3594,NA
3630,3631,NA
3645,3647,NA
3666,3667,NA
3683,3685,NA
3688,3690,NA
3697,3698,NA
3704,3706,NA
3711,3713,NA
3718,3720,NA
3724,3726,NA
3734,3735,NA
3801,3803,NA
3804,3805,NA
3814,3815,NA
3830,3832,NA
3842,3843,NA
3853,3855,NA
3861,3862,NA
3877,3878,NA
3885,3886,NA
3906,3907,NA
3928,3929,NA
3931,3932,NA
3940,3942,NA
3950,3951,NA
3956,3957,NA
3963,3964,NA
3970,3971,NA
3988,3989,NA
4000,4002,NA
4005,4006,NA
4010,4011,NA
4032,4033,NA
4035,4037,NA
4043,4044,NA
4062,4064,NA
4084,4086,NA
4087,4088,NA
4097,4098,NA
4118,4120,NA
4128,4129,NA
4169,4170,NA
4171,4173,NA
4178,4179,NA
4183,4184,NA
4185,4186,NA
4190,4191,NA
4192,4193,NA
4199,4200,NA
4207,4208,NA
4215,4216,NA
4219,4220,NA
4236,4237,NA
4243,4244,NA
4248,4249,NA
4256,4257,NA
4260,4261,NA
4273,4275,NA
4278,4280,NA
4286,4288,NA
4303,4305,NA
4315,4317,NA
4319,4320,NA
4325,4327,NA
4328,4329,NA
4341,4342,NA
4347,4348,NA
4392,4393,NA
4412,4413,NA
4423,4424,NA
4441,4442,NA
4448,4449,NA
4459,4460,NA
4484,4485,NA
4498,4499,NA
4505,4506,NA
4518,4519,NA
4520,4522,NA
4542,4544,NA
4556,4557,NA
4568,4570,NA
4599,4600,NA
4613,4614,NA
4635,4636,NA
4653,4654,NA
4672,4674,NA
4693,4695,NA
4699,4700,NA
4703,4705,NA
4711,4712,NA
4714,4716,NA
4732,4733,NA
4771,4772,NA
4776,4777,NA
4794,4795,NA
4799,4800,NA
4803,4804,NA
4806,4807,NA
4824,4825,NA
4832,4833,NA
4837,4838,NA
4839,4840,NA
4842,4843,NA
4863,4864,NA
4869,4870,NA
4874,4875,NA
