"from","to","type"
40,7,"51_HISTORY"
7,1,"51_HISTORY"
1,40,"51_HISTORY"
40,1,"51_HISTORY"
25,10,"52_HISTORY"
10,27,"52_HISTORY"
27,41,"52_HISTORY"
41,2,"52_HISTORY"
15,3,"53_HISTORY"
4,5,"54_HISTORY"
5,4,"54_HISTORY"
4,4,"54_HISTORY"
16,5,"55_HISTORY"
5,5,"55_HISTORY"
15,6,"56_HISTORY"
7,7,"57_HISTORY"
7,7,"57_HISTORY"
49,11,"58_HISTORY"
11,49,"58_HISTORY"
49,25,"58_HISTORY"
25,11,"58_HISTORY"
11,8,"58_HISTORY"
32,45,"59_HISTORY"
45,9,"59_HISTORY"
36,10,"60_HISTORY"
10,1,"60_HISTORY"
1,10,"60_HISTORY"
11,45,"61_HISTORY"
45,29,"61_HISTORY"
29,5,"61_HISTORY"
5,45,"61_HISTORY"
45,13,"61_HISTORY"
13,11,"61_HISTORY"
24,24,"62_HISTORY"
24,42,"62_HISTORY"
42,14,"62_HISTORY"
14,12,"62_HISTORY"
17,20,"63_HISTORY"
20,13,"63_HISTORY"
2,14,"64_HISTORY"
14,14,"64_HISTORY"
14,14,"64_HISTORY"
8,43,"65_HISTORY"
43,15,"65_HISTORY"
9,33,"66_HISTORY"
33,9,"66_HISTORY"
9,39,"66_HISTORY"
39,16,"66_HISTORY"
16,20,"67_HISTORY"
20,32,"67_HISTORY"
32,17,"67_HISTORY"
4,4,"68_HISTORY"
4,4,"68_HISTORY"
4,18,"68_HISTORY"
6,6,"69_HISTORY"
6,19,"69_HISTORY"
43,20,"70_HISTORY"
21,21,"71_HISTORY"
14,34,"72_HISTORY"
34,22,"72_HISTORY"
24,23,"73_HISTORY"
23,23,"73_HISTORY"
31,24,"74_HISTORY"
48,25,"75_HISTORY"
26,14,"76_HISTORY"
14,39,"76_HISTORY"
39,39,"76_HISTORY"
39,44,"76_HISTORY"
44,26,"76_HISTORY"
27,25,"78_HISTORY"
25,27,"78_HISTORY"
27,16,"78_HISTORY"
16,9,"78_HISTORY"
9,28,"78_HISTORY"
47,29,"79_HISTORY"
29,29,"79_HISTORY"
15,15,"80_HISTORY"
15,15,"80_HISTORY"
15,30,"80_HISTORY"
6,14,"81_HISTORY"
14,18,"81_HISTORY"
18,31,"81_HISTORY"
17,32,"82_HISTORY"
