"from","to","type"
45,18,"51_HISTORY"
18,1,"51_HISTORY"
1,39,"51_HISTORY"
39,10,"51_HISTORY"
10,1,"51_HISTORY"
2,2,"52_HISTORY"
4,35,"54_HISTORY"
35,20,"54_HISTORY"
20,4,"54_HISTORY"
6,5,"55_HISTORY"
28,6,"56_HISTORY"
6,6,"56_HISTORY"
6,6,"56_HISTORY"
7,42,"57_HISTORY"
42,21,"57_HISTORY"
21,21,"57_HISTORY"
21,42,"57_HISTORY"
42,4,"57_HISTORY"
4,7,"57_HISTORY"
34,29,"58_HISTORY"
29,8,"58_HISTORY"
27,42,"59_HISTORY"
42,42,"59_HISTORY"
42,9,"59_HISTORY"
28,37,"60_HISTORY"
37,10,"60_HISTORY"
11,45,"61_HISTORY"
45,24,"61_HISTORY"
24,11,"61_HISTORY"
11,11,"61_HISTORY"
12,8,"62_HISTORY"
8,12,"62_HISTORY"
38,13,"63_HISTORY"
13,36,"63_HISTORY"
36,36,"63_HISTORY"
36,13,"63_HISTORY"
14,14,"64_HISTORY"
14,50,"64_HISTORY"
50,14,"64_HISTORY"
34,15,"65_HISTORY"
24,38,"66_HISTORY"
38,38,"66_HISTORY"
38,16,"66_HISTORY"
16,16,"66_HISTORY"
27,44,"67_HISTORY"
44,17,"67_HISTORY"
2,36,"68_HISTORY"
36,18,"68_HISTORY"
18,18,"68_HISTORY"
4,50,"69_HISTORY"
50,25,"69_HISTORY"
25,25,"69_HISTORY"
25,50,"69_HISTORY"
50,19,"69_HISTORY"
23,49,"70_HISTORY"
49,20,"70_HISTORY"
16,38,"71_HISTORY"
38,38,"71_HISTORY"
38,21,"71_HISTORY"
23,50,"72_HISTORY"
50,50,"72_HISTORY"
50,22,"72_HISTORY"
22,50,"72_HISTORY"
50,22,"72_HISTORY"
17,50,"73_HISTORY"
50,17,"73_HISTORY"
17,23,"73_HISTORY"
31,26,"74_HISTORY"
26,26,"74_HISTORY"
26,45,"74_HISTORY"
45,24,"74_HISTORY"
25,42,"75_HISTORY"
42,25,"75_HISTORY"
20,26,"76_HISTORY"
21,44,"77_HISTORY"
44,27,"77_HISTORY"
10,28,"78_HISTORY"
29,29,"79_HISTORY"
30,30,"80_HISTORY"
30,26,"80_HISTORY"
26,37,"80_HISTORY"
37,30,"80_HISTORY"
30,30,"80_HISTORY"
10,31,"81_HISTORY"
50,32,"82_HISTORY"
32,32,"82_HISTORY"
33,1,"83_HISTORY"
1,33,"83_HISTORY"
33,34,"83_HISTORY"
34,33,"83_HISTORY"
23,15,"84_HISTORY"
15,34,"84_HISTORY"
24,35,"85_HISTORY"
35,35,"85_HISTORY"
36,36,"86_HISTORY"
36,5,"86_HISTORY"
5,32,"86_HISTORY"
32,36,"86_HISTORY"
31,37,"87_HISTORY"
21,38,"88_HISTORY"
39,39,"89_HISTORY"
39,9,"89_HISTORY"
9,39,"89_HISTORY"
41,24,"90_HISTORY"
24,40,"90_HISTORY"
40,40,"90_HISTORY"
40,40,"90_HISTORY"
12,41,"91_HISTORY"
13,42,"92_HISTORY"
42,42,"92_HISTORY"
45,43,"93_HISTORY"
43,49,"93_HISTORY"
49,43,"93_HISTORY"
43,43,"93_HISTORY"
17,45,"94_HISTORY"
45,44,"94_HISTORY"
44,44,"94_HISTORY"
45,43,"95_HISTORY"
43,43,"95_HISTORY"
43,45,"95_HISTORY"
45,43,"95_HISTORY"
43,45,"95_HISTORY"
34,34,"96_HISTORY"
34,13,"96_HISTORY"
13,41,"96_HISTORY"
41,41,"96_HISTORY"
41,46,"96_HISTORY"
48,48,"98_HISTORY"
20,49,"99_HISTORY"
30,25,"100_HISTORY"
25,24,"100_HISTORY"
24,34,"100_HISTORY"
34,50,"100_HISTORY"
49,1,"101_HISTORY"
1,1,"101_HISTORY"
20,2,"102_HISTORY"
42,42,"103_HISTORY"
42,42,"103_HISTORY"
42,7,"103_HISTORY"
8,8,"104_HISTORY"
8,8,"104_HISTORY"
9,9,"105_HISTORY"
26,10,"106_HISTORY"
