"from","to","type"
748,1345,NA
747,1346,NA
748,1347,NA
754,1348,NA
753,1350,NA
756,1352,NA
751,1355,NA
753,1356,NA
745,1358,NA
747,1359,NA
759,1361,NA
760,1363,NA
759,1364,NA
768,1365,NA
766,1367,NA
759,1368,NA
762,1369,NA
765,1370,NA
762,1371,NA
761,1372,NA
779,1373,NA
775,1375,NA
770,1377,NA
777,1379,NA
779,1380,NA
777,1381,NA
769,1382,NA
780,1383,NA
778,1385,NA
769,1388,NA
785,1390,NA
784,1391,NA
786,1393,NA
783,1394,NA
789,1395,NA
783,1397,NA
792,1398,NA
782,1401,NA
786,1403,NA
786,1406,NA
804,1407,NA
801,1409,NA
800,1410,NA
794,1411,NA
801,1412,NA
803,1414,NA
803,1417,NA
798,1420,NA
795,1422,NA
803,1423,NA
814,1426,NA
807,1428,NA
809,1429,NA
810,1430,NA
816,1431,NA
808,1433,NA
812,1434,NA
815,1437,NA
811,1440,NA
807,1442,NA
817,1444,NA
823,1445,NA
818,1448,NA
826,1449,NA
819,1452,NA
820,1454,NA
820,1455,NA
821,1456,NA
825,1457,NA
826,1458,NA
840,1459,NA
831,1461,NA
829,1462,NA
834,1464,NA
839,1466,NA
836,1468,NA
832,1469,NA
832,1470,NA
840,1472,NA
832,1473,NA
847,1475,NA
850,1476,NA
852,1477,NA
851,1479,NA
842,1480,NA
843,1482,NA
852,1483,NA
842,1484,NA
846,1485,NA
851,1487,NA
858,1489,NA
861,1490,NA
855,1491,NA
860,1492,NA
860,1494,NA
853,1496,NA
854,1497,NA
854,1500,NA
857,1503,NA
854,1504,NA
867,1505,NA
869,1506,NA
875,1507,NA
869,1508,NA
875,1509,NA
874,1511,NA
876,1514,NA
873,1515,NA
872,1517,NA
867,1520,NA
880,1522,NA
886,1523,NA
886,1525,NA
878,1527,NA
877,1528,NA
877,1530,NA
887,1531,NA
882,1532,NA
883,1533,NA
883,1535,NA
890,1536,NA
891,1537,NA
900,1538,NA
894,1539,NA
898,1541,NA
893,1543,NA
891,1545,NA
894,1546,NA
889,1547,NA
895,1548,NA
911,1551,NA
910,1553,NA
907,1556,NA
904,1558,NA
