"from","to","type"
754,1345,NA
751,1346,NA
753,1349,NA
745,1350,NA
754,1354,NA
752,1356,NA
751,1357,NA
747,1359,NA
755,1362,NA
745,1365,NA
757,1368,NA
767,1369,NA
764,1372,NA
763,1373,NA
766,1375,NA
761,1376,NA
768,1378,NA
760,1381,NA
761,1382,NA
766,1383,NA
776,1385,NA
773,1386,NA
777,1387,NA
774,1389,NA
777,1391,NA
780,1392,NA
776,1396,NA
770,1398,NA
776,1401,NA
779,1402,NA
789,1404,NA
790,1405,NA
782,1408,NA
792,1410,NA
784,1413,NA
784,1415,NA
792,1416,NA
786,1419,NA
785,1422,NA
784,1424,NA
796,1426,NA
799,1428,NA
804,1431,NA
799,1432,NA
793,1434,NA
795,1435,NA
802,1436,NA
802,1438,NA
793,1439,NA
803,1440,NA
806,1441,NA
806,1443,NA
814,1446,NA
815,1448,NA
814,1449,NA
810,1451,NA
813,1455,NA
808,1457,NA
812,1458,NA
807,1461,NA
827,1462,NA
823,1464,NA
828,1466,NA
820,1468,NA
819,1470,NA
828,1474,NA
820,1475,NA
828,1478,NA
823,1480,NA
824,1483,NA
837,1484,NA
833,1486,NA
839,1487,NA
836,1488,NA
832,1491,NA
837,1492,NA
840,1494,NA
829,1495,NA
840,1497,NA
840,1498,NA
851,1499,NA
849,1502,NA
843,1505,NA
851,1507,NA
850,1509,NA
850,1512,NA
847,1515,NA
848,1517,NA
844,1518,NA
841,1521,NA
862,1523,NA
862,1525,NA
863,1527,NA
860,1529,NA
860,1530,NA
859,1532,NA
862,1534,NA
864,1536,NA
859,1540,NA
853,1542,NA
874,1544,NA
865,1546,NA
866,1550,NA
875,1552,NA
873,1553,NA
870,1556,NA
869,1558,NA
874,1560,NA
866,1564,NA
876,1566,NA
885,1567,NA
882,1569,NA
882,1571,NA
884,1572,NA
880,1573,NA
877,1574,NA
880,1575,NA
888,1577,NA
888,1580,NA
880,1582,NA
900,1584,NA
898,1586,NA
892,1589,NA
889,1591,NA
891,1594,NA
898,1596,NA
896,1597,NA
893,1600,NA
900,1604,NA
894,1606,NA
905,1607,NA
908,1609,NA
910,1611,NA
909,1613,NA
906,1616,NA
908,1617,NA
910,1619,NA
903,1621,NA
905,1623,NA
903,1625,NA
922,1627,NA
922,1630,NA
922,1632,NA
917,1635,NA
920,1637,NA
913,1639,NA
915,1642,NA
918,1645,NA
915,1647,NA
920,1649,NA
929,1650,NA
935,1651,NA
933,1652,NA
936,1653,NA
931,1656,NA
930,1660,NA
933,1663,NA
935,1665,NA
927,1667,NA
932,1668,NA
947,1669,NA
938,1672,NA
938,1675,NA
938,1678,NA
944,1680,NA
948,1683,NA
947,1685,NA
948,1687,NA
946,1689,NA
938,1691,NA
960,1693,NA
954,1696,NA
950,1698,NA
953,1702,NA
953,1704,NA
953,1707,NA
951,1708,NA
958,1710,NA
955,1711,NA
960,1714,NA
969,1716,NA
968,1719,NA
964,1722,NA
961,1724,NA
969,1726,NA
970,1728,NA
964,1730,NA
971,1731,NA
965,1733,NA
968,1735,NA
978,1737,NA
976,1739,NA
979,1740,NA
973,1742,NA
980,1744,NA
981,1746,NA
980,1748,NA
981,1750,NA
976,1752,NA
982,1753,NA
987,1755,NA
986,1757,NA
986,1760,NA
992,1761,NA
995,1763,NA
989,1764,NA
994,1765,NA
987,1768,NA
994,1770,NA
989,1773,NA
1000,1776,NA
997,1778,NA
997,1780,NA
1001,1781,NA
1004,1782,NA
1004,1783,NA
1001,1786,NA
1005,1788,NA
998,1789,NA
1001,1791,NA
1015,1793,NA
1018,1795,NA
1011,1797,NA
1020,1799,NA
1010,1801,NA
1015,1802,NA
1019,1804,NA
1018,1805,NA
1009,1806,NA
1020,1807,NA
1021,1809,NA
1027,1811,NA
1025,1812,NA
1032,1815,NA
1028,1818,NA
1032,1820,NA
1021,1822,NA
1032,1825,NA
1026,1827,NA
1023,1828,NA
1043,1831,NA
1042,1833,NA
1033,1835,NA
1035,1836,NA
1033,1839,NA
1041,1840,NA
1037,1842,NA
1042,1845,NA
1035,1847,NA
1039,1848,NA
1052,1851,NA
1054,1852,NA
1056,1853,NA
1055,1855,NA
1054,1856,NA
1050,1858,NA
1056,1860,NA
1050,1861,NA
1054,1863,NA
1048,1865,NA
1059,1867,NA
1057,1869,NA
1066,1870,NA
1062,1872,NA
1062,1874,NA
1064,1875,NA
1067,1876,NA
1062,1878,NA
1058,1881,NA
1063,1882,NA
1074,1884,NA
1073,1885,NA
1072,1887,NA
1076,1889,NA
1078,1891,NA
1071,1892,NA
1079,1894,NA
1069,1896,NA
1076,1897,NA
1076,1899,NA
1083,1902,NA
1092,1905,NA
1092,1906,NA
1082,1907,NA
1085,1909,NA
1084,1910,NA
1091,1911,NA
1087,1912,NA
1083,1913,NA
1087,1914,NA
1098,1916,NA
1103,1918,NA
1096,1919,NA
1101,1922,NA
1098,1923,NA
1094,1925,NA
1099,1927,NA
1093,1929,NA
1102,1931,NA
1100,1932,NA
1112,1933,NA
1113,1934,NA
1111,1935,NA
1109,1936,NA
1109,1939,NA
1107,1940,NA
1116,1943,NA
1112,1945,NA
1107,1947,NA
1111,1948,NA
1126,1949,NA
1118,1950,NA
1117,1952,NA
1119,1954,NA
1118,1955,NA
1126,1956,NA
1123,1958,NA
1125,1960,NA
1118,1963,NA
1123,1964,NA
1129,1965,NA
1134,1967,NA
1136,1970,NA
1131,1973,NA
1129,1975,NA
1140,1978,NA
1130,1981,NA
1131,1982,NA
1131,1984,NA
1140,1986,NA
1142,1988,NA
1146,1991,NA
1145,1992,NA
1152,1996,NA
1147,1997,NA
1141,2000,NA
1143,2003,NA
1149,2005,NA
1146,2007,NA
1146,2009,NA
1157,2010,NA
1162,2012,NA
1162,2014,NA
1157,2017,NA
1156,2019,NA
1157,2022,NA
1160,2024,NA
1160,2026,NA
1159,2028,NA
1162,2031,NA
1170,2033,NA
1169,2035,NA
1167,2039,NA
1167,2041,NA
1169,2042,NA
1171,2045,NA
1174,2047,NA
1165,2050,NA
1168,2052,NA
1169,2054,NA
1184,2056,NA
1177,2058,NA
1186,2060,NA
1177,2062,NA
1179,2063,NA
1188,2065,NA
1183,2067,NA
1186,2068,NA
1179,2069,NA
1186,2070,NA
1195,2073,NA
1189,2076,NA
1190,2080,NA
1190,2082,NA
1197,2084,NA
1194,2086,NA
1189,2087,NA
1194,2089,NA
1194,2093,NA
1200,2095,NA
1209,2098,NA
1202,2099,NA
1203,2101,NA
1202,2102,NA
1204,2105,NA
1206,2107,NA
1212,2110,NA
1202,2112,NA
1204,2113,NA
1205,2115,NA
1221,2117,NA
1221,2118,NA
1215,2121,NA
1220,2123,NA
1215,2125,NA
1216,2129,NA
1222,2131,NA
1213,2133,NA
1213,2136,NA
1215,2139,NA
1231,2141,NA
1231,2143,NA
1228,2145,NA
1229,2147,NA
1228,2149,NA
1231,2152,NA
1228,2154,NA
1233,2155,NA
1227,2158,NA
1228,2162,NA
1240,2165,NA
1248,2168,NA
1241,2170,NA
1244,2172,NA
1239,2174,NA
1248,2175,NA
1237,2176,NA
1247,2177,NA
1245,2179,NA
1244,2180,NA
1253,2181,NA
1257,2184,NA
1258,2187,NA
1260,2190,NA
1252,2193,NA
1260,2194,NA
1257,2196,NA
1249,2198,NA
1253,2200,NA
1249,2201,NA
1263,2202,NA
1268,2203,NA
1270,2204,NA
1270,2208,NA
1270,2210,NA
1268,2212,NA
1264,2213,NA
1266,2215,NA
1261,2217,NA
1267,2218,NA
1278,2220,NA
1275,2223,NA
1277,2226,NA
1284,2228,NA
1280,2229,NA
1279,2230,NA
1281,2233,NA
1275,2235,NA
1275,2238,NA
1275,2241,NA
1287,2242,NA
1288,2245,NA
1294,2248,NA
1295,2251,NA
1295,2252,NA
1290,2254,NA
1289,2256,NA
1293,2257,NA
1291,2259,NA
1288,2260,NA
1299,2262,NA
1306,2263,NA
1298,2265,NA
1302,2268,NA
1303,2269,NA
1301,2273,NA
1300,2275,NA
1298,2277,NA
1306,2279,NA
1306,2281,NA
1316,2282,NA
1315,2284,NA
1320,2287,NA
1312,2290,NA
1318,2292,NA
1316,2294,NA
1315,2296,NA
1319,2298,NA
1310,2300,NA
1310,2302,NA
1321,2303,NA
1323,2305,NA
1330,2307,NA
1321,2309,NA
1322,2310,NA
1327,2311,NA
1328,2314,NA
1322,2316,NA
1327,2318,NA
1326,2321,NA
1337,2322,NA
1335,2323,NA
1333,2324,NA
1337,2325,NA
1337,2329,NA
1344,2330,NA
1344,2331,NA
1342,2333,NA
1334,2335,NA
1343,2338,NA
747,2339,NA
753,2342,NA
745,2344,NA
755,2345,NA
748,2348,NA
752,2349,NA
748,2351,NA
756,2354,NA
754,2355,NA
750,2358,NA
757,2360,NA
763,2362,NA
757,2364,NA
759,2365,NA
759,2366,NA
764,2368,NA
758,2370,NA
768,2372,NA
766,2374,NA
759,2377,NA
824,2379,NA
827,2380,NA
828,2382,NA
818,2385,NA
820,2386,NA
820,2388,NA
824,2390,NA
824,2392,NA
822,2395,NA
825,2398,NA
830,2401,NA
835,2403,NA
838,2404,NA
829,2405,NA
838,2409,NA
838,2412,NA
832,2414,NA
833,2416,NA
832,2420,NA
830,2421,NA
852,2424,NA
852,2427,NA
847,2431,NA
850,2433,NA
841,2436,NA
850,2439,NA
842,2440,NA
851,2442,NA
846,2444,NA
845,2446,NA
857,2448,NA
856,2451,NA
861,2454,NA
859,2456,NA
858,2458,NA
855,2461,NA
860,2463,NA
857,2465,NA
853,2469,NA
860,2472,NA
880,2475,NA
883,2476,NA
883,2477,NA
878,2478,NA
879,2479,NA
877,2480,NA
