"from","to","type"
51,1345,NA
51,1346,NA
51,1347,NA
51,1348,NA
51,1350,NA
51,1352,NA
51,1355,NA
51,1356,NA
51,1358,NA
51,1359,NA
52,1361,NA
52,1363,NA
52,1364,NA
52,1365,NA
52,1367,NA
52,1368,NA
52,1369,NA
52,1370,NA
52,1371,NA
52,1372,NA
53,1373,NA
53,1375,NA
53,1377,NA
53,1379,NA
53,1380,NA
53,1381,NA
53,1382,NA
53,1383,NA
53,1385,NA
53,1388,NA
54,1390,NA
54,1391,NA
54,1393,NA
54,1394,NA
54,1395,NA
54,1397,NA
54,1398,NA
54,1401,NA
54,1403,NA
54,1406,NA
55,1407,NA
55,1409,NA
55,1410,NA
55,1411,NA
55,1412,NA
55,1414,NA
55,1417,NA
55,1420,NA
55,1422,NA
55,1423,NA
56,1426,NA
56,1428,NA
56,1429,NA
56,1430,NA
56,1431,NA
56,1433,NA
56,1434,NA
56,1437,NA
56,1440,NA
56,1442,NA
57,1444,NA
57,1445,NA
57,1448,NA
57,1449,NA
57,1452,NA
57,1454,NA
57,1455,NA
57,1456,NA
57,1457,NA
57,1458,NA
58,1459,NA
58,1461,NA
58,1462,NA
58,1464,NA
58,1466,NA
58,1468,NA
58,1469,NA
58,1470,NA
58,1472,NA
58,1473,NA
59,1475,NA
59,1476,NA
59,1477,NA
59,1479,NA
59,1480,NA
59,1482,NA
59,1483,NA
59,1484,NA
59,1485,NA
59,1487,NA
60,1489,NA
60,1490,NA
60,1491,NA
60,1492,NA
60,1494,NA
60,1496,NA
60,1497,NA
60,1500,NA
60,1503,NA
60,1504,NA
61,1505,NA
61,1506,NA
61,1507,NA
61,1508,NA
61,1509,NA
61,1511,NA
61,1514,NA
61,1515,NA
61,1517,NA
61,1520,NA
62,1522,NA
62,1523,NA
62,1525,NA
62,1527,NA
62,1528,NA
62,1530,NA
62,1531,NA
62,1532,NA
62,1533,NA
62,1535,NA
63,1536,NA
63,1537,NA
63,1538,NA
63,1539,NA
63,1541,NA
63,1543,NA
63,1545,NA
63,1546,NA
63,1547,NA
63,1548,NA
64,1551,NA
64,1553,NA
64,1556,NA
64,1558,NA
64,1560,NA
64,1562,NA
64,1564,NA
64,1565,NA
64,1566,NA
64,1567,NA
65,1570,NA
65,1573,NA
65,1574,NA
65,1576,NA
65,1577,NA
65,1579,NA
65,1580,NA
65,1583,NA
65,1586,NA
65,1587,NA
66,1589,NA
66,1590,NA
66,1593,NA
66,1595,NA
66,1598,NA
66,1599,NA
66,1601,NA
66,1602,NA
66,1603,NA
66,1604,NA
67,1605,NA
67,1607,NA
67,1608,NA
67,1611,NA
67,1612,NA
67,1613,NA
67,1615,NA
67,1616,NA
67,1618,NA
67,1619,NA
68,1620,NA
68,1622,NA
68,1623,NA
68,1625,NA
68,1626,NA
68,1629,NA
68,1630,NA
68,1632,NA
68,1633,NA
68,1635,NA
69,1636,NA
69,1637,NA
69,1638,NA
69,1642,NA
69,1644,NA
69,1646,NA
69,1648,NA
69,1649,NA
69,1652,NA
69,1653,NA
70,1654,NA
70,1655,NA
70,1657,NA
70,1659,NA
70,1660,NA
70,1661,NA
70,1662,NA
70,1663,NA
70,1664,NA
70,1666,NA
71,1667,NA
71,1670,NA
71,1672,NA
71,1673,NA
71,1675,NA
71,1677,NA
71,1678,NA
71,1680,NA
71,1682,NA
71,1685,NA
72,1687,NA
72,1690,NA
72,1693,NA
72,1694,NA
72,1697,NA
72,1700,NA
72,1702,NA
72,1704,NA
72,1705,NA
72,1707,NA
73,1709,NA
73,1710,NA
73,1713,NA
73,1714,NA
73,1716,NA
73,1717,NA
73,1719,NA
73,1720,NA
73,1721,NA
73,1723,NA
74,1724,NA
74,1725,NA
74,1726,NA
74,1728,NA
74,1729,NA
74,1730,NA
74,1731,NA
74,1733,NA
74,1736,NA
74,1737,NA
75,1738,NA
75,1740,NA
75,1743,NA
75,1745,NA
75,1746,NA
75,1747,NA
75,1749,NA
75,1750,NA
75,1751,NA
75,1752,NA
76,1753,NA
76,1754,NA
76,1756,NA
76,1757,NA
76,1758,NA
76,1759,NA
76,1761,NA
76,1762,NA
76,1763,NA
76,1765,NA
77,1766,NA
77,1768,NA
77,1770,NA
77,1771,NA
77,1773,NA
77,1774,NA
77,1776,NA
77,1780,NA
77,1781,NA
77,1784,NA
78,1785,NA
78,1787,NA
78,1789,NA
78,1791,NA
78,1792,NA
78,1793,NA
78,1795,NA
78,1796,NA
78,1797,NA
78,1799,NA
79,1801,NA
79,1802,NA
79,1804,NA
79,1805,NA
79,1806,NA
79,1807,NA
79,1809,NA
79,1811,NA
79,1812,NA
79,1813,NA
80,1815,NA
80,1816,NA
80,1817,NA
80,1819,NA
80,1820,NA
80,1821,NA
80,1822,NA
80,1824,NA
80,1826,NA
80,1829,NA
81,1830,NA
81,1831,NA
81,1833,NA
81,1836,NA
81,1838,NA
81,1839,NA
81,1841,NA
81,1842,NA
81,1843,NA
81,1846,NA
82,1849,NA
82,1852,NA
82,1854,NA
82,1855,NA
82,1856,NA
82,1858,NA
82,1860,NA
82,1863,NA
82,1866,NA
82,1869,NA
83,1872,NA
83,1874,NA
83,1875,NA
83,1877,NA
83,1878,NA
83,1879,NA
83,1881,NA
83,1883,NA
83,1884,NA
83,1885,NA
84,1886,NA
84,1888,NA
84,1890,NA
84,1891,NA
84,1892,NA
84,1894,NA
84,1896,NA
84,1898,NA
84,1900,NA
84,1902,NA
85,1904,NA
85,1905,NA
85,1906,NA
85,1908,NA
85,1910,NA
85,1911,NA
85,1914,NA
85,1915,NA
85,1919,NA
85,1920,NA
86,1921,NA
86,1922,NA
86,1923,NA
86,1926,NA
86,1927,NA
86,1928,NA
86,1929,NA
86,1932,NA
86,1933,NA
86,1935,NA
87,1937,NA
87,1939,NA
87,1940,NA
87,1942,NA
87,1945,NA
87,1946,NA
87,1947,NA
87,1948,NA
87,1950,NA
87,1952,NA
88,1955,NA
88,1957,NA
88,1959,NA
88,1961,NA
88,1962,NA
88,1964,NA
88,1966,NA
88,1967,NA
88,1968,NA
88,1970,NA
89,1972,NA
89,1974,NA
89,1976,NA
89,1977,NA
89,1978,NA
89,1979,NA
89,1980,NA
89,1983,NA
89,1985,NA
89,1987,NA
90,1988,NA
90,1989,NA
90,1991,NA
90,1992,NA
90,1993,NA
90,1994,NA
90,1995,NA
90,1997,NA
90,1998,NA
90,1999,NA
91,2003,NA
91,2005,NA
91,2006,NA
91,2007,NA
91,2009,NA
91,2010,NA
91,2012,NA
91,2013,NA
91,2014,NA
91,2015,NA
92,2016,NA
92,2018,NA
92,2019,NA
92,2020,NA
92,2022,NA
92,2023,NA
92,2026,NA
92,2027,NA
92,2029,NA
92,2032,NA
93,2034,NA
93,2035,NA
93,2036,NA
