from,to,type
51,1345,drove  on
51,1346,drove  on
51,1349,drove  on
51,1350,drove  on
51,1354,drove  on
51,1356,drove  on
51,1357,drove  on
51,1359,drove  on
51,1362,drove  on
51,1365,drove  on
52,1368,drove  on
52,1369,drove  on
52,1372,drove  on
52,1373,drove  on
52,1375,drove  on
52,1376,drove  on
52,1378,drove  on
52,1381,drove  on
52,1382,drove  on
52,1383,drove  on
53,1385,drove  on
53,1386,drove  on
53,1387,drove  on
53,1389,drove  on
53,1391,drove  on
53,1392,drove  on
53,1396,drove  on
53,1398,drove  on
53,1401,drove  on
53,1402,drove  on
54,1404,drove  on
54,1405,drove  on
54,1408,drove  on
54,1410,drove  on
54,1413,drove  on
54,1415,drove  on
54,1416,drove  on
54,1419,drove  on
54,1422,drove  on
54,1424,drove  on
55,1426,drove  on
55,1428,drove  on
55,1431,drove  on
55,1432,drove  on
55,1434,drove  on
55,1435,drove  on
55,1436,drove  on
55,1438,drove  on
55,1439,drove  on
55,1440,drove  on
56,1441,drove  on
56,1443,drove  on
56,1446,drove  on
56,1448,drove  on
56,1449,drove  on
56,1451,drove  on
56,1455,drove  on
56,1457,drove  on
56,1458,drove  on
56,1461,drove  on
57,1462,drove  on
57,1464,drove  on
57,1466,drove  on
57,1468,drove  on
57,1470,drove  on
57,1474,drove  on
57,1475,drove  on
57,1478,drove  on
57,1480,drove  on
57,1483,drove  on
58,1484,drove  on
58,1486,drove  on
58,1487,drove  on
58,1488,drove  on
58,1491,drove  on
58,1492,drove  on
58,1494,drove  on
58,1495,drove  on
58,1497,drove  on
58,1498,drove  on
59,1499,drove  on
59,1502,drove  on
59,1505,drove  on
59,1507,drove  on
59,1509,drove  on
59,1512,drove  on
59,1515,drove  on
59,1517,drove  on
59,1518,drove  on
59,1521,drove  on
60,1523,drove  on
60,1525,drove  on
60,1527,drove  on
60,1529,drove  on
60,1530,drove  on
60,1532,drove  on
60,1534,drove  on
60,1536,drove  on
60,1540,drove  on
60,1542,drove  on
61,1544,drove  on
61,1546,drove  on
61,1550,drove  on
61,1552,drove  on
61,1553,drove  on
61,1556,drove  on
61,1558,drove  on
61,1560,drove  on
61,1564,drove  on
61,1566,drove  on
62,1567,drove  on
62,1569,drove  on
62,1571,drove  on
62,1572,drove  on
62,1573,drove  on
62,1574,drove  on
62,1575,drove  on
62,1577,drove  on
62,1580,drove  on
62,1582,drove  on
63,1584,drove  on
63,1586,drove  on
63,1589,drove  on
63,1591,drove  on
63,1594,drove  on
63,1596,drove  on
63,1597,drove  on
63,1600,drove  on
63,1604,drove  on
63,1606,drove  on
64,1607,drove  on
64,1609,drove  on
64,1611,drove  on
64,1613,drove  on
64,1616,drove  on
64,1617,drove  on
64,1619,drove  on
64,1621,drove  on
64,1623,drove  on
64,1625,drove  on
65,1627,drove  on
65,1630,drove  on
65,1632,drove  on
65,1635,drove  on
65,1637,drove  on
65,1639,drove  on
65,1642,drove  on
65,1645,drove  on
65,1647,drove  on
65,1649,drove  on
66,1650,drove  on
66,1651,drove  on
66,1652,drove  on
66,1653,drove  on
66,1656,drove  on
66,1660,drove  on
66,1663,drove  on
66,1665,drove  on
66,1667,drove  on
66,1668,drove  on
67,1669,drove  on
67,1672,drove  on
67,1675,drove  on
67,1678,drove  on
67,1680,drove  on
