"id","label","RiskLevel"
"51","T","med"
"52","T","med"
"53","T","med"
"54","T","med"
"55","T","med"
"56","T","med"
"57","T","med"
"58","T","med"
"59","T","med"
"60","T","med"
"61","T","med"
"62","T","med"
"63","T","med"
"64","T","med"
"65","T","med"
"66","T","med"
"67","T","safe"
"68","T","safe"
"69","T","safe"
"70","T","safe"
"71","T","safe"
"72","T","safe"
"73","T","safe"
"74","T","safe"
"75","T","safe"
"76","T","safe"
"77","T","safe"
"78","T","safe"
"79","T","safe"
"80","T","safe"
"81","T","safe"
"82","T","safe"
"83","T","safe"
"84","T","safe"
"85","T","safe"
"86","T","safe"
"87","T","safe"
"88","T","safe"
"89","T","safe"
"90","T","safe"
"91","T","safe"
"92","T","safe"
"93","T","safe"
"94","T","safe"
"95","T","safe"
"96","T","safe"
"97","T","safe"
"98","T","safe"
"99","T","safe"
"100","T","safe"
"101","T","safe"
"102","T","safe"
"103","T","safe"
"104","T","safe"
"105","T","safe"
"106","T","safe"
"107","T","safe"
"108","T","safe"
"109","T","safe"
"110","T","safe"
"111","T","safe"
"112","T","safe"
"113","T","safe"
"114","T","safe"
"115","T","safe"
"116","T","safe"
"117","T","safe"
"118","T","safe"
"119","T","safe"
"120","T","safe"
"121","T","safe"
"122","T","safe"
"123","T","med"
"124","T","med"
"125","T","med"
"126","T","med"
"127","T","med"
"128","T","med"
"129","T","med"
"130","T","med"
"131","T","med"
"132","T","med"
"133","T","safe"
"134","T","safe"
"135","T","safe"
"136","T","safe"
"137","T","safe"
"138","T","safe"
"139","T","safe"
"140","T","safe"
"141","T","safe"
"142","T","safe"
"143","T","safe"
"144","T","safe"
"145","T","med"
"146","T","med"
"147","T","med"
"148","T","med"
"149","T","med"
"150","T","med"
"151","T","med"
"152","T","med"
"153","T","med"
"154","T","med"
"155","T","safe"
"156","T","safe"
"157","T","safe"
"158","T","safe"
"159","T","med"
"160","T","med"
"161","T","med"
"162","T","med"
"163","T","med"
"164","T","med"
"165","T","med"
"166","T","med"
"167","T","med"
"168","T","med"
"169","T","safe"
"170","T","safe"
"171","T","safe"
"172","T","safe"
"173","T","safe"
"174","T","safe"
"175","T","safe"
"176","T","safe"
"177","T","safe"
"178","T","safe"
"179","T","safe"
"180","T","safe"
"181","T","safe"
"182","T","safe"
"183","T","safe"
"184","T","safe"
"185","T","safe"
"186","T","safe"
"187","T","med"
"188","T","med"
"189","T","med"
"190","T","med"
"191","T","med"
"192","T","med"
"193","T","med"
"194","T","safe"
"195","T","safe"
"196","T","safe"
"197","T","safe"
"198","T","safe"
"199","T","safe"
"200","T","safe"
"201","T","safe"
"202","T","safe"
"203","T","safe"
"204","T","safe"
"205","T","safe"
"206","T","safe"
"207","T","safe"
"208","T","safe"
"209","T","safe"
"210","T","safe"
"211","T","safe"
"212","T","safe"
"213","T","safe"
"214","T","safe"
"215","T","safe"
"216","T","safe"
"217","T","safe"
"218","T","safe"
"219","T","safe"
"220","T","safe"
"221","T","safe"
"222","T","safe"
"223","T","safe"
"224","T","med"
"225","T","med"
"226","T","med"
"227","T","med"
"228","T","med"
"229","T","med"
"230","T","med"
"231","T","med"
"232","T","med"
"233","T","med"
"234","T","med"
"235","T","med"
"236","T","med"
"237","T","med"
"238","T","safe"
"239","T","safe"
"240","T","safe"
"241","T","safe"
"242","T","safe"
"243","T","safe"
"244","T","safe"
"245","T","safe"
"246","T","safe"
"247","T","safe"
"248","T","safe"
"249","T","safe"
"250","T","safe"
"505","T","safe"
"506","T","safe"
"507","T","safe"
"508","T","med"
"509","T","risky"
"510","T","safe"
"511","T","safe"
"512","T","safe"
"513","T","med"
"514","T","risky"
"515","T","safe"
"516","T","safe"
"517","T","safe"
"518","T","med"
"519","T","risky"
"520","T","safe"
"521","T","safe"
"522","T","safe"
"523","T","med"
"524","T","risky"
