"from","to","type"
51,545,"51_HISTORY"
545,45,"51_HISTORY"
45,18,"51_HISTORY"
18,1,"51_HISTORY"
1,39,"51_HISTORY"
39,10,"51_HISTORY"
10,1,"51_HISTORY"
545,1,"51_HISTORY"
52,546,"52_HISTORY"
546,2,"52_HISTORY"
2,2,"52_HISTORY"
546,2,"52_HISTORY"
53,547,"53_HISTORY"
547,3,"53_HISTORY"
547,3,"53_HISTORY"
54,548,"54_HISTORY"
548,4,"54_HISTORY"
4,35,"54_HISTORY"
35,20,"54_HISTORY"
20,4,"54_HISTORY"
548,4,"54_HISTORY"
55,549,"55_HISTORY"
549,6,"55_HISTORY"
6,5,"55_HISTORY"
549,5,"55_HISTORY"
56,550,"56_HISTORY"
550,28,"56_HISTORY"
28,6,"56_HISTORY"
6,6,"56_HISTORY"
6,6,"56_HISTORY"
550,6,"56_HISTORY"
57,551,"57_HISTORY"
551,7,"57_HISTORY"
7,42,"57_HISTORY"
42,21,"57_HISTORY"
21,21,"57_HISTORY"
21,42,"57_HISTORY"
42,4,"57_HISTORY"
4,7,"57_HISTORY"
551,7,"57_HISTORY"
58,552,"58_HISTORY"
552,34,"58_HISTORY"
34,29,"58_HISTORY"
29,8,"58_HISTORY"
552,8,"58_HISTORY"
59,553,"59_HISTORY"
553,27,"59_HISTORY"
27,42,"59_HISTORY"
42,42,"59_HISTORY"
42,9,"59_HISTORY"
553,9,"59_HISTORY"
60,554,"60_HISTORY"
554,28,"60_HISTORY"
28,37,"60_HISTORY"
37,10,"60_HISTORY"
554,10,"60_HISTORY"
61,555,"61_HISTORY"
555,11,"61_HISTORY"
11,45,"61_HISTORY"
45,24,"61_HISTORY"
24,11,"61_HISTORY"
11,11,"61_HISTORY"
555,11,"61_HISTORY"
62,556,"62_HISTORY"
556,12,"62_HISTORY"
12,8,"62_HISTORY"
8,12,"62_HISTORY"
556,12,"62_HISTORY"
63,557,"63_HISTORY"
557,38,"63_HISTORY"
38,13,"63_HISTORY"
13,36,"63_HISTORY"
36,36,"63_HISTORY"
36,13,"63_HISTORY"
557,13,"63_HISTORY"
64,558,"64_HISTORY"
558,14,"64_HISTORY"
14,14,"64_HISTORY"
14,50,"64_HISTORY"
50,14,"64_HISTORY"
558,14,"64_HISTORY"
65,559,"65_HISTORY"
559,34,"65_HISTORY"
34,15,"65_HISTORY"
559,15,"65_HISTORY"
66,560,"66_HISTORY"
560,24,"66_HISTORY"
24,38,"66_HISTORY"
38,38,"66_HISTORY"
38,16,"66_HISTORY"
16,16,"66_HISTORY"
560,16,"66_HISTORY"
67,561,"67_HISTORY"
561,27,"67_HISTORY"
27,44,"67_HISTORY"
44,17,"67_HISTORY"
561,17,"67_HISTORY"
68,562,"68_HISTORY"
562,2,"68_HISTORY"
2,36,"68_HISTORY"
36,18,"68_HISTORY"
18,18,"68_HISTORY"
562,18,"68_HISTORY"
69,563,"69_HISTORY"
563,4,"69_HISTORY"
4,50,"69_HISTORY"
50,25,"69_HISTORY"
25,25,"69_HISTORY"
25,50,"69_HISTORY"
50,19,"69_HISTORY"
563,19,"69_HISTORY"
70,564,"70_HISTORY"
564,23,"70_HISTORY"
23,49,"70_HISTORY"
49,20,"70_HISTORY"
564,20,"70_HISTORY"
71,565,"71_HISTORY"
565,16,"71_HISTORY"
16,38,"71_HISTORY"
38,38,"71_HISTORY"
38,21,"71_HISTORY"
565,21,"71_HISTORY"
72,566,"72_HISTORY"
566,23,"72_HISTORY"
23,50,"72_HISTORY"
50,50,"72_HISTORY"
50,22,"72_HISTORY"
22,50,"72_HISTORY"
50,22,"72_HISTORY"
566,22,"72_HISTORY"
73,567,"73_HISTORY"
567,17,"73_HISTORY"
17,50,"73_HISTORY"
50,17,"73_HISTORY"
17,23,"73_HISTORY"
567,23,"73_HISTORY"
74,568,"74_HISTORY"
568,31,"74_HISTORY"
31,26,"74_HISTORY"
26,26,"74_HISTORY"
26,45,"74_HISTORY"
45,24,"74_HISTORY"
568,24,"74_HISTORY"
75,569,"75_HISTORY"
569,25,"75_HISTORY"
25,42,"75_HISTORY"
42,25,"75_HISTORY"
569,25,"75_HISTORY"
76,570,"76_HISTORY"
570,20,"76_HISTORY"
20,26,"76_HISTORY"
570,26,"76_HISTORY"
77,571,"77_HISTORY"
571,21,"77_HISTORY"
21,44,"77_HISTORY"
44,27,"77_HISTORY"
571,27,"77_HISTORY"
78,572,"78_HISTORY"
572,10,"78_HISTORY"
10,28,"78_HISTORY"
572,28,"78_HISTORY"
79,573,"79_HISTORY"
573,29,"79_HISTORY"
29,29,"79_HISTORY"
573,29,"79_HISTORY"
80,574,"80_HISTORY"
574,30,"80_HISTORY"
30,30,"80_HISTORY"
30,26,"80_HISTORY"
26,37,"80_HISTORY"
37,30,"80_HISTORY"
30,30,"80_HISTORY"
574,30,"80_HISTORY"
81,575,"81_HISTORY"
575,10,"81_HISTORY"
10,31,"81_HISTORY"
575,31,"81_HISTORY"
82,576,"82_HISTORY"
576,50,"82_HISTORY"
50,32,"82_HISTORY"
32,32,"82_HISTORY"
576,32,"82_HISTORY"
83,577,"83_HISTORY"
577,33,"83_HISTORY"
33,1,"83_HISTORY"
1,33,"83_HISTORY"
33,34,"83_HISTORY"
34,33,"83_HISTORY"
577,33,"83_HISTORY"
84,578,"84_HISTORY"
578,23,"84_HISTORY"
23,15,"84_HISTORY"
15,34,"84_HISTORY"
578,34,"84_HISTORY"
85,579,"85_HISTORY"
579,24,"85_HISTORY"
24,35,"85_HISTORY"
35,35,"85_HISTORY"
579,35,"85_HISTORY"
86,580,"86_HISTORY"
580,36,"86_HISTORY"
36,36,"86_HISTORY"
36,5,"86_HISTORY"
5,32,"86_HISTORY"
32,36,"86_HISTORY"
580,36,"86_HISTORY"
87,581,"87_HISTORY"
581,31,"87_HISTORY"
31,37,"87_HISTORY"
581,37,"87_HISTORY"
88,582,"88_HISTORY"
582,21,"88_HISTORY"
21,38,"88_HISTORY"
582,38,"88_HISTORY"
89,583,"89_HISTORY"
583,39,"89_HISTORY"
39,39,"89_HISTORY"
39,9,"89_HISTORY"
9,39,"89_HISTORY"
583,39,"89_HISTORY"
90,584,"90_HISTORY"
584,41,"90_HISTORY"
41,24,"90_HISTORY"
24,40,"90_HISTORY"
40,40,"90_HISTORY"
40,40,"90_HISTORY"
584,40,"90_HISTORY"
91,585,"91_HISTORY"
585,12,"91_HISTORY"
12,41,"91_HISTORY"
585,41,"91_HISTORY"
92,586,"92_HISTORY"
586,13,"92_HISTORY"
13,42,"92_HISTORY"
42,42,"92_HISTORY"
586,42,"92_HISTORY"
93,587,"93_HISTORY"
587,45,"93_HISTORY"
45,43,"93_HISTORY"
43,49,"93_HISTORY"
49,43,"93_HISTORY"
43,43,"93_HISTORY"
587,43,"93_HISTORY"
94,588,"94_HISTORY"
588,17,"94_HISTORY"
17,45,"94_HISTORY"
45,44,"94_HISTORY"
44,44,"94_HISTORY"
588,44,"94_HISTORY"
95,589,"95_HISTORY"
589,45,"95_HISTORY"
45,43,"95_HISTORY"
43,43,"95_HISTORY"
43,45,"95_HISTORY"
45,43,"95_HISTORY"
43,45,"95_HISTORY"
589,45,"95_HISTORY"
96,590,"96_HISTORY"
590,34,"96_HISTORY"
34,34,"96_HISTORY"
34,13,"96_HISTORY"
13,41,"96_HISTORY"
41,41,"96_HISTORY"
41,46,"96_HISTORY"
590,46,"96_HISTORY"
97,591,"97_HISTORY"
591,47,"97_HISTORY"
591,47,"97_HISTORY"
98,592,"98_HISTORY"
592,48,"98_HISTORY"
48,48,"98_HISTORY"
592,48,"98_HISTORY"
99,593,"99_HISTORY"
593,20,"99_HISTORY"
20,49,"99_HISTORY"
593,49,"99_HISTORY"
100,594,"100_HISTORY"
594,30,"100_HISTORY"
30,25,"100_HISTORY"
25,24,"100_HISTORY"
24,34,"100_HISTORY"
34,50,"100_HISTORY"
594,50,"100_HISTORY"
101,595,"101_HISTORY"
595,49,"101_HISTORY"
49,1,"101_HISTORY"
1,1,"101_HISTORY"
595,1,"101_HISTORY"
102,596,"102_HISTORY"
596,20,"102_HISTORY"
20,2,"102_HISTORY"
596,2,"102_HISTORY"
103,597,"103_HISTORY"
597,42,"103_HISTORY"
42,42,"103_HISTORY"
42,42,"103_HISTORY"
42,7,"103_HISTORY"
597,7,"103_HISTORY"
104,598,"104_HISTORY"
598,8,"104_HISTORY"
8,8,"104_HISTORY"
8,8,"104_HISTORY"
598,8,"104_HISTORY"
105,599,"105_HISTORY"
599,9,"105_HISTORY"
9,9,"105_HISTORY"
599,9,"105_HISTORY"
106,600,"106_HISTORY"
600,26,"106_HISTORY"
26,10,"106_HISTORY"
10,37,"106_HISTORY"
37,10,"106_HISTORY"
600,10,"106_HISTORY"
107,601,"107_HISTORY"
601,12,"107_HISTORY"
12,19,"107_HISTORY"
19,12,"107_HISTORY"
601,12,"107_HISTORY"
108,602,"108_HISTORY"
602,12,"108_HISTORY"
12,13,"108_HISTORY"
13,12,"108_HISTORY"
12,13,"108_HISTORY"
13,13,"108_HISTORY"
602,13,"108_HISTORY"
109,603,"109_HISTORY"
603,22,"109_HISTORY"
22,15,"109_HISTORY"
603,15,"109_HISTORY"
110,604,"110_HISTORY"
604,7,"110_HISTORY"
7,38,"110_HISTORY"
38,16,"110_HISTORY"
604,16,"110_HISTORY"
111,605,"111_HISTORY"
605,44,"111_HISTORY"
44,17,"111_HISTORY"
17,13,"111_HISTORY"
13,23,"111_HISTORY"
23,23,"111_HISTORY"
23,17,"111_HISTORY"
605,17,"111_HISTORY"
112,606,"112_HISTORY"
606,2,"112_HISTORY"
2,18,"112_HISTORY"
606,18,"112_HISTORY"
113,607,"113_HISTORY"
607,22,"113_HISTORY"
22,19,"113_HISTORY"
19,19,"113_HISTORY"
607,19,"113_HISTORY"
114,608,"114_HISTORY"
608,49,"114_HISTORY"
49,20,"114_HISTORY"
20,24,"114_HISTORY"
24,49,"114_HISTORY"
49,20,"114_HISTORY"
608,20,"114_HISTORY"
115,609,"115_HISTORY"
609,21,"115_HISTORY"
21,16,"115_HISTORY"
16,21,"115_HISTORY"
609,21,"115_HISTORY"
116,610,"116_HISTORY"
610,35,"116_HISTORY"
35,22,"116_HISTORY"
22,22,"116_HISTORY"
22,5,"116_HISTORY"
5,1,"116_HISTORY"
1,22,"116_HISTORY"
22,22,"116_HISTORY"
610,22,"116_HISTORY"
117,611,"117_HISTORY"
611,17,"117_HISTORY"
17,44,"117_HISTORY"
44,23,"117_HISTORY"
611,23,"117_HISTORY"
118,612,"118_HISTORY"
612,6,"118_HISTORY"
6,47,"118_HISTORY"
47,24,"118_HISTORY"
612,24,"118_HISTORY"
119,613,"119_HISTORY"
613,48,"119_HISTORY"
48,48,"119_HISTORY"
48,25,"119_HISTORY"
25,48,"119_HISTORY"
48,25,"119_HISTORY"
613,25,"119_HISTORY"
120,614,"120_HISTORY"
614,46,"120_HISTORY"
46,30,"120_HISTORY"
30,26,"120_HISTORY"
614,26,"120_HISTORY"
121,615,"121_HISTORY"
615,10,"121_HISTORY"
10,28,"121_HISTORY"
615,28,"121_HISTORY"
122,616,"122_HISTORY"
616,29,"122_HISTORY"
29,29,"122_HISTORY"
29,29,"122_HISTORY"
616,29,"122_HISTORY"
123,617,"123_HISTORY"
